,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125378,201401050075,2014,1,5,Nigeria,Sub-Saharan Africa,Bayelsa,Agrisaba,4.530027,6.312793,"01/05/2014: Assailants abducted the mother and daughter of the local monarch, Samuel Walter, in Agrisaba village, Bayelsa state, Nigeria. Both of the hostages were released unharmed on January 12, 2014. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,0
125387,201401060002,2014,1,6,Nigeria,Sub-Saharan Africa,Kaduna,Kaduna,10.516667,7.433333,"01/06/2014: Assailants attacked police officers in Kaduna city, Kaduna state, Nigeria. Four police officers were killed and their weapons were stolen. No group claimed responsibility for the incident.",Police,Unknown,Firearms,4,0
125400,201401060023,2014,1,6,Nigeria,Sub-Saharan Africa,Plateau,Shonong,9.516667,8.7,"01/06/2014: More than 100 gunmen attacked the Shonong village, Bachit District, Plateau state, Nigeria. Thirty four people were killed and 24 others were wounded. Additionally, 56 homes were burned down and dozens of domesticated animals were stolen or killed in the attack. No group claimed responsibility for the incident; however, surviving victims and local authorities attributed the attack to Fulani militants.",Private Citizens & Property,Fulani extremists,Firearms,34,24
125436,201401070002,2014,1,7,Nigeria,Sub-Saharan Africa,Kano,Kwankwaso,11.85091,8.396,"01/07/2014: Assailants opened fire on a mosque in Kwankwaso village, Kano state, Nigeria. At least three people were killed and 12 others were injured in the attack. Although the father of the Kano state governor was present at the time of the shooting, he was unharmed. No group claimed responsibility for the incident; however, sources suspected that Boko Haram was involved.",Religious Figures/Institutions,Boko Haram,Firearms,3,12
125480,201401080001,2014,1,8,Nigeria,Sub-Saharan Africa,Borno,Konduga,11.648532000000001,13.41939,"01/08/2014: Assailants attacked Kayamula village in Konduga local government area, Borno state, Nigeria. At least nine people were killed and several others were injured. Additionally, witnesses reported that the assailants had suffered a number of casualties. No group claimed responsibility for the violence; however, sources attributed the incident to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,9,0
125502,201401080028,2014,1,8,Nigeria,Sub-Saharan Africa,Borno,Gwoza,11.089722,13.688376000000002,"01/08/2014: Eight assailants attacked the village of Peter Biye in Gwoza town, Borno State, Nigeria. Biya is a member of the House of Representatives. The assailants set a church and Biye's home on fire and burnt materials worth more than N38 million including a store of sorghum in the attack. No group has claimed responsibility for the incident; however, sources suspected that Boko Haram was involved.",Government (General),Boko Haram,Incendiary,0,0
125519,201401090001,2014,1,9,Nigeria,Sub-Saharan Africa,Borno,Damboa,11.15782,12.76046,"01/09/2014: Assailants attacked a military base in Damboa town, Borno state, Nigeria. Nigerian soldiers immediately retaliated, killing 38 assailants. One soldier was also killed and two soldiers were injured in the exchange of gunfire. Soldiers also found and defused several cylinder bombs after the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,39,2
125618,201401120040,2014,1,12,Nigeria,Sub-Saharan Africa,Borno,Konduga,11.648532000000001,13.41939,"01/12/2014: Approximately 30 assailants armed with guns, explosive devices, and knives attacked Kayamula village within Konduga community, Borno state, Nigeria. Five people were killed and a number of houses and shops were set on fire in the attack. No group claimed responsibility; however, sources suspect Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,5,0
125619,201401120041,2014,1,12,Nigeria,Sub-Saharan Africa,Borno,Sabon Gari,10.491433,12.247253,"01/12/2014: A number of assailants stormed Sabon Gari village in Borno state, Nigeria. Eight people were killed and a number of others were injured in the attack. No group claimed responsibility for the incident; however, sources suspect Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,8,0
125683,201401140019,2014,1,14,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15,"01/14/2014: An explosives-laden rickshaw detonated in a market in Maiduguri city, Borno state, Nigeria. At least 17 people were killed and five people were injured in the blast. Boko haram claimed responsibility for the attack.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,18,5
125720,201401140063,2014,1,14,Nigeria,Sub-Saharan Africa,Borno,Tuba,12.108889,13.117778,"01/14/2014: Gunmen on motorcycles opened fire on a group of Civilian Joint Task Force (CJTF) members in Tuba village, Borno state, Nigeria. Five people were killed in the incident. No group claimed responsibility for the shooting; however, authorities suspected the involvement of Boko Haram.",Terrorists/Non-State Militia,Boko Haram,Firearms,5,0
125751,201401150030,2014,1,15,Nigeria,Sub-Saharan Africa,Borno,Banki,11.661944,14.02,"01/15/2014: Gunmen threw an explosive device at a police station in the town of Banki, Borno state, Nigeria. This was immediately followed by a firefight with security forces. At least two soldiers and four police officers were killed in the attack, as well as an unknown number of civilians. No group claimed responsibility for the incident; however, authorities attributed the incident to Boko Haram, who were attempting to take over the town.",Police,Boko Haram,Explosives/Bombs/Dynamite,6,0
125817,201401160040,2014,1,16,Nigeria,Sub-Saharan Africa,Borno,Gashagar,13.36306,12.79921,"01/16/2014: Assailants attacked a mosque in Gashagar village, Borno state, Nigeria. At least seven people were killed and an unknown number of people were wounded in the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to Boko Haram.",Religious Figures/Institutions,Boko Haram,Incendiary,7,0
125950,201401190015,2014,1,19,Nigeria,Sub-Saharan Africa,Borno,Alau,11.722367,13.282406,"01/19/2014: Assailants attacked civilian homes in Alau village, Borno state, Nigeria. At least 19 people were killed and an unknown number of people were injured as a result. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,19,0
125990,201401200032,2014,1,20,Nigeria,Sub-Saharan Africa,Borno,Wulgo,12.483854,14.184197,"01/20/2014: Gunmen attacked the home of a primary school head in Wulgo village, Borno state, Nigeria. The school head was killed and one other person was wounded as a result. No group claimed responsibility for the incident; however, authorities attributed it to Boko Haram.",Educational Institution,Boko Haram,Firearms,1,1
126039,201401210034,2014,1,21,Nigeria,Sub-Saharan Africa,Borno,Unknown,12.120519999999999,13.174035,"01/21/2014: Assailants attacked the village of Njaba in Borno state, Nigeria. At least 10 people were killed and the village was set on fire during the attack. No group claimed responsibility for the incident; however, witnesses attributed it to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,10,5
126082,201401220019,2014,1,22,Nigeria,Sub-Saharan Africa,Borno,Unknown,12.120519999999999,13.174035,"01/22/2014: Assailants attacked a village in the Kaya area of Borno state, Nigeria. At least eight people were killed and the village was razed in the attack. This was one of three such attacks on villages in Borno state on this day. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,8,0
126083,201401220020,2014,1,22,Nigeria,Sub-Saharan Africa,Borno,Unknown,12.120519999999999,13.174035,"01/22/2014: Assailants attacked a village in the Mude area of Borno state, Nigeria. No casualties were reported. This was one of three such attacks on villages in Borno state on this day. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Private Citizens & Property,Boko Haram,Incendiary,0,0
126084,201401220021,2014,1,22,Nigeria,Sub-Saharan Africa,Borno,Unknown,12.120519999999999,13.174035,"01/22/2014: Assailants attacked a village in the Kwaljiri area of Borno state, Nigeria. No casualties were reported. This was one of three such attacks on villages in Borno state on this day. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Private Citizens & Property,Boko Haram,Incendiary,0,0
126156,201401240023,2014,1,24,Nigeria,Sub-Saharan Africa,Borno,Wala,11.181307,13.753528,"01/24/2014: Assailants attacked Wala village, Borno state, Nigeria. An unknown number of people were killed or wounded as a result. No group claimed responsibility; however, sources suspect that Boko Haram was behind the incident.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,0,0
126194,201401250019,2014,1,25,Nigeria,Sub-Saharan Africa,Bayelsa,Nembe district,4.52885,6.402778,"01/25/2014: Assailants attacked a Nigerian Nigerian Agip Oil Company (NAOC) tugboat and abducted two people from Nembe, Bayelsa state, Nigeria. The Movement for the Emancipation of the Niger Delta (MEND) claimed responsibility for the incident and stated that the attack served as a reminder of the group's presence in the area and that they intend to drive away all oil companies by 2015. The outcome of the kidnapping is unknown.",Business,Movement for the Emancipation of the Niger Delta (MEND),Firearms,0,0
126202,201401250028,2014,1,25,Nigeria,Sub-Saharan Africa,Kaduna,Kaura,9.632177,8.503456,"01/25/2014: Assailants attacked a group of Chinese railway workers in Kaura local government area, Kaduna state, Nigeria. One worker was killed and two were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Fulani tribal members.",Business,Fulani extremists,Firearms,1,2
126235,201401260022,2014,1,27,Nigeria,Sub-Saharan Africa,Borno,Konduga,11.648532000000001,13.41939,"01/27/2014: Assailants attacked Kawuri village in Konduga, Borno state, Nigeria. At least 52 people were killed, at least 50 others were wounded, and an unknown number of villagers were abducted. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources suspect that Boko Haram was behind the attack.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,52,50
126236,201401260023,2014,1,26,Nigeria,Sub-Saharan Africa,Adamawa,Waga Chakawa,9.281042999999999,12.380733,"01/26/2014: Assailants attacked a Catholic church in Waga Chakawa village, Adamawa state, Nigeria. At least 22 people were killed and an unknown number of people were abducted during the attack. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram. The outcome of the kidnapping is unknown.",Religious Figures/Institutions,Boko Haram,Explosives/Bombs/Dynamite,22,0
126361,201401280053,2014,1,28,Nigeria,Sub-Saharan Africa,Ekiti,Oye,7.797822,5.333797,"01/28/2014: Assailants abducted four employees of the Federal University, Oye-Ekiti (FUOYE) near Oye town, Ekiti state, Nigeria. One of the hostages died on an unspecified date; the fate of the other hostages is unknown. No group claimed responsibility for the incident.",Educational Institution,Unknown,Unknown,0,0
126431,201401300028,2014,1,30,Nigeria,Sub-Saharan Africa,Bauchi,Giade,11.390135,10.199511,"01/30/2014: Assailants threw two explosive devices and fired guns at a police headquarters in Giade local government area, Bauchi state, Nigeria. At least one police was wounded and one prisoner was freed during the attack. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram and stated that the group carried out the attack in order to free one of its members.",Police,Boko Haram,Explosives/Bombs/Dynamite,0,1
126478,201401310019,2014,1,31,Nigeria,Sub-Saharan Africa,Kaduna,Manchok,9.666667,8.516667,"01/31/2014: Gunmen attacked a family in Manchok, Kaduna state, Nigeria. At least seven family members were killed as a result. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,7,0
126479,201401310020,2014,1,31,Nigeria,Sub-Saharan Africa,Borno,Gwoza district,11.089722,13.688376000000002,"01/31/2014: A roadside bomb detonated on a bus in Gwoza district, Borno state, Nigeria. At least seven people were killed and three others were wounded as a result of the blast. No group claimed responsibility for the incident; however, police officials suspect that Boko Haram was involved.",Transportation,Boko Haram,Explosives/Bombs/Dynamite,7,3
126485,201401310030,2014,1,31,Nigeria,Sub-Saharan Africa,Adamawa,Sabon Garin Yamdula,10.889103,13.627587,"01/31/2014: Gunmen attacked civilians in Sabon Garin Yamdula village, Adamawa state, Nigeria. At least 11 people, including a pastor, were killed in the attack. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Religious Figures/Institutions,Boko Haram,Firearms,11,0
126521,201402010020,2014,2,1,Nigeria,Sub-Saharan Africa,Kaduna,Zaria,11.063275,7.700373,"02/01/2014: Gunmen attacked the vehicle of a Adam Albani in Zaria city, Kaduna state, Nigeria. Albani, who was a Muslim cleric, was one of three people killed. Boko Haram claimed responsibility for the attack.",Religious Figures/Institutions,Boko Haram,Firearms,3,0
126555,201402010063,2014,2,1,Nigeria,Sub-Saharan Africa,Delta,Unknown,5.513103,6.042539,"02/01/2014: Assailants abducted Apelebiri Walabo from the Asaba-Agbor highway in Delta state, Nigeria. Walabo is the registrar for Federal Polytechnic school. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident.",Educational Institution,Unknown,Firearms,0,0
126624,201402030034,2014,2,4,Nigeria,Sub-Saharan Africa,Plateau,Atakar,9.581412,8.719833,"02/04/2014: Assailants attacked residents and buildings in Atakar village, Plateau state, Nigeria. Eleven people were killed and an unknown number of people were injured. This was one of two similar attacks carried out on villages in the same area on the same day. Approximately 60 houses were set on fire and destroyed. No group claimed responsibility; however, sources suspect that Fulani militants were behind the incidents.",Private Citizens & Property,Fulani extremists,Firearms,11,0
126625,201402030035,2014,2,4,Nigeria,Sub-Saharan Africa,Plateau,Rajat,9.570959,8.697883000000001,"02/04/2014: Assailants attacked residents and buildings in Rajat village, Plateau state, Nigeria. Nineteen people were killed and an unknown number of people were injured. This was one of two similar attacks carried out on villages in the same area on the same day. Approximately 60 houses were set on fire and destroyed. No group claimed responsibility; however, sources suspect that Fulani militants were behind the incidents.",Private Citizens & Property,Fulani extremists,Firearms,19,0
126626,201402030036,2014,2,3,Nigeria,Sub-Saharan Africa,Kaduna,Kirim,9.634938,8.497185,"02/03/2014: Approximately 100 assailants opened fire on residents in Kirim village, Kaduna state, Nigeria. This was one of three attacks on villages in the Kaura local government area by the same assailants on this day. At least 30 people were killed and an unknown number of buildings were destroyed in the attacks. No group claimed responsibility for the incident; however, sources suspected that Fulani militants were involved.",Private Citizens & Property,Fulani extremists,Firearms,10,0
126627,201402030037,2014,2,3,Nigeria,Sub-Saharan Africa,Kaduna,Zagan,9.627533999999999,8.531907,"02/03/2014: Approximately 100 assailants opened fire on residents in Zagan village, Kaduna state, Nigeria. This was one of three attacks on villages in the Kaura local government area by the same assailants on this day. At least 30 people were killed and an unknown number of buildings were destroyed in the attacks. No group claimed responsibility for the incident; however, sources suspected that Fulani militants were involved.",Private Citizens & Property,Fulani extremists,Firearms,10,0
126628,201402030038,2014,2,3,Nigeria,Sub-Saharan Africa,Kaduna,Zandyen,9.635277,8.505035000000001,"02/03/2014: Approximately 100 assailants opened fire on residents in Zandyen village, Kaduna state, Nigeria. This was one of three attacks on villages in the Kaura local government area by the same assailants on this day. At least 30 people were killed and an unknown number of buildings were destroyed in the attacks. No group claimed responsibility for the incident; however, sources suspected that Fulani militants were involved.",Private Citizens & Property,Fulani extremists,Firearms,10,0
126665,201402040008,2014,2,4,Nigeria,Sub-Saharan Africa,Yobe,Bara,10.897831,11.609238000000001,"02/04/2014: Assailants attacked traders returning from Ngalda Market in Bara town, Yobe state, Nigeria. At least 19 people were killed and five others were injured in the attack. Additionally, their wares were stolen. As the assailants were fleeing, they also killed a security guard at a nearby quarry plant. No group claimed responsibility; however, sources suspect that Boko Haram was behind the incident.",Private Citizens & Property,Boko Haram,Firearms,19,5
126710,201402050011,2014,2,5,Nigeria,Sub-Saharan Africa,Borno,Askira,10.65289,12.907513,"02/05/2014: Assailants opened fire and detonated explosive devices at a police post in Askira town, Borno state, Nigeria. At least two police officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Police,Boko Haram,Explosives/Bombs/Dynamite,0,2
126737,201402050052,2014,2,5,Nigeria,Sub-Saharan Africa,Borno,Askira,10.657376,12.906142,"02/05/2014: Assailants attacked Askira town in Borno state, Nigeria. The assault, which targeted both security personnel and civilians, resulted in three deaths. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,3,0
126746,201402060014,2014,2,6,Nigeria,Sub-Saharan Africa,Plateau,Mavo,9.07612,10.05916,"02/06/2014: Assailants opened fire on residents in Mavo village, Plateau state, Nigeria. At least 22 people were killed and approximately 10 houses were set on fire in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Tarok Militia and locals suspected that Fulani militants were involved.",Private Citizens & Property,Tarok Militia,Firearms,22,0
