year,injuries,fatalities,region,count
1970,0,1,South Asia,1
1974,2,0,South Asia,2
1975,0,1,South Asia,2
1976,3,1,South Asia,3
1978,2,5,South Asia,2
1979,42,6,South Asia,7
1980,18,17,South Asia,1
1981,4,4,South Asia,4
1982,9,3,South Asia,4
1983,26,10,South Asia,9
1984,49,12,South Asia,3
1985,1,0,South Asia,2
1986,351,60,South Asia,24
1987,1095,183,South Asia,60
1988,266,136,South Asia,44
1989,248,56,South Asia,45
1990,486,188,South Asia,87
1991,599,231,South Asia,150
1992,393,152,South Asia,85
1994,434,354,South Asia,154
1995,615,712,South Asia,666
1996,755,423,South Asia,180
1997,525,443,South Asia,206
1998,349,151,South Asia,37
1999,246,127,South Asia,39
2000,448,118,South Asia,49
2001,265,109,South Asia,53
2002,331,105,South Asia,46
2003,181,119,South Asia,29
2004,671,304,South Asia,67
2005,284,152,South Asia,77
2006,669,314,South Asia,164
2007,2343,1406,South Asia,260
2008,1901,1184,South Asia,567
2009,3541,1487,South Asia,667
2010,2961,1695,South Asia,713
2011,2649,1674,South Asia,1012
2012,4264,2784,South Asia,1652
2013,5770,2874,South Asia,2214
2014,3387,2414,South Asia,2148
2015,1848,1607,South Asia,1238
2016,1894,1112,South Asia,861
