,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
113153,201301010001,2013,1,1,Pakistan,South Asia,Khyber Pakhtunkhwa,Bannu,32.988889,70.605556,"01/01/2013: An explosive device was discovered in Bannu area, Khyber Pakhtunkhwa province, Pakistan. The device was safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
113157,201301010005,2013,1,1,Pakistan,South Asia,Sindh,Karachi,24.949832999999998,66.96609699999999,"01/01/2013: An explosive device was discovered near the private residence of an Awami National Party (ANP) activist in Orangi Town, Sindh province, Pakistan. The device was safely defused without causing injury. No group claimed responsibility for the unsuccessful attack; however, officials attribute the incident to Tehrik-i-Taliban Pakistan (TTP).",Private Citizens & Property,Tehrik-i-Taliban Pakistan (TTP),Explosives/Bombs/Dynamite,0,0
113158,201301010006,2013,1,1,Pakistan,South Asia,Sindh,Karachi,24.871216,67.33841899999999,"01/01/2013: An explosive device was discovered near the Ghaghar Phattak railway tracks in Steel Town, Sindh province, Pakistan. The device was safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
113159,201301010007,2013,1,1,Pakistan,South Asia,Balochistan,Besima,27.909572999999998,65.87397,"01/01/2013: Assailants opened fire on Under-Secretary Saifuddin Baloch's vehicle in the Besima area of Kharan district, Balochistan province, Pakistan. The government official and his driver were killed in the attack and a third man was injured. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,2,1
113160,201301010008,2013,1,1,Pakistan,South Asia,Balochistan,Machh,29.867169,67.33523199999999,"01/01/2013: Assailants on a motorcycle opened fire on Mohammad Ali in Machh bazaar, Balochistan province, Pakistan. Mohammad Ali, the warden of Machh jail and a member of the Hazara community, was killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,1,0
113161,201301010009,2013,1,1,Pakistan,South Asia,Khyber Pakhtunkhwa,Sarband,33.957249,71.50340200000001,"01/01/2013: Approximately 70 kilograms of explosives were discovered outside a tribal elder's house in Sarband area, Khyber Pakhtunkhwa province, Pakistan. The device was safely defused without incident. No group claimed responsibility for the unsuccessful incident.",Terrorists/Non-State Militia,Unknown,Explosives/Bombs/Dynamite,0,0
113164,201301010013,2013,1,1,Pakistan,South Asia,Sindh,Karachi,24.892538000000002,67.027971,"01/01/2013: Assailants on a motorcycle opened fire on an Anti-Violent Crime Cell (AVCC) assistant sub-inspector in Karachi city, Sindh state, Pakistan. Mohammad Faiz was killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,1,0
113165,201301010014,2013,1,1,Pakistan,South Asia,Khyber Pakhtunkhwa,Swabi,34.279967,72.51639899999999,"01/01/2013: Assailants opened fire on a vehicle carrying charity workers in the Sher Afzal Banda area of Swabi district, Khyber Pakhtunkhwa province, Pakistan. The workers, from the Support with Working Solutions (SWWS) organization, were providing medical and education services. Seven people were killed in the attack and one person was injured. No group claimed responsibility for the incident; however, officials suspect that Tehrik-i-Taliban Pakistan (TTP) was involved.",NGO,Tehrik-i-Taliban Pakistan (TTP),Firearms,7,1
113172,201301010024,2013,1,1,Pakistan,South Asia,Federally Administered Tribal Areas,Khyber district,34.011514,71.28421800000001,"01/01/2013: Assailants fired a mortar shell in the Akakhel area of Bara tehsil, Khyber Agency, Federally Administered Tribal Areas, Pakistan. The mortar landed near a group of school children; two students were killed in the blast and another five were injured. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,5
113173,201301010025,2013,1,1,Pakistan,South Asia,Balochistan,Dasht,28.579366999999998,66.576886,"01/01/2013: Assailants on motorcycles opened fire on a vehicle carrying medicine near Dasht area, Balochistan province, Pakistan. The driver of the vehicle was injured in the attack. No group claimed responsibility for the incident.",Business,Unknown,Firearms,0,1
113174,201301010026,2013,1,1,Pakistan,South Asia,Federally Administered Tribal Areas,North Waziristan district,32.974638,70.14558000000001,"01/01/2013: A roadside bomb detonated in North Waziristan agency, Federally Administered Tribal Areas, Pakistan. The explosion was targeting workers from the Works Organization (FWO) engaged in road construction in the area; one worker was killed and five more were injured. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,1,5
113177,201301010033,2013,1,1,Pakistan,South Asia,Sindh,Karachi,24.928079999999998,67.06433100000001,"01/01/2013: Explosives attached to a motorcycle detonated near a Muttahida Qaumi Movement (MQM) political rally in Karachi city, Sindh state, Pakistan. The bombing was targeting buses transporting MQM activists; four people were killed, another 45 were injured, and several vehicles were damaged. Hakeemullah Mehsud group, a subgroup of Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the incident.",Violent Political Party,Tehrik-i-Taliban Pakistan (TTP),Explosives/Bombs/Dynamite,4,45
113180,201301020001,2013,1,1,Pakistan,South Asia,Khyber Pakhtunkhwa,Jamrud,33.999691,71.38295600000001,"01/01/2013: An explosive device detonated at a private residence in Jamrud tehsil, Khyber agency, Federally Administered Tribal Areas, Pakistan. The house belonged to a polio campaigner; the campaigner and his family were not injured in the blast, although the house was damaged. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
113181,201301020002,2013,1,2,Pakistan,South Asia,Khyber Pakhtunkhwa,Peshawar,34.004574,71.544288,"01/02/2013: An explosive device detonated at the Institute of Arabic and Islamic Studies on the campus of the University of Peshawar in Peshawar city, Khyber Pakhtunkhwa province, Pakistan. Two people were injured in the blast and the building was damaged. No group claimed responsibility for the incident.",Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,2
113187,201301020010,2013,1,2,Pakistan,South Asia,Khyber Pakhtunkhwa,Nowshera,34.006281,71.998703,"01/02/2013: An explosive device detonated at Zeeshan market in Nowshera city, Khyber Pakhtunkhwa, Pakistan. Three compact disc (CD) stores were damaged in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
113191,201301020014,2013,1,2,Pakistan,South Asia,Punjab,Jand,33.436599,72.01801999999999,"01/02/2013: Assailants halted a bus and abducted seven military personnel in Jand area, Punjab, Pakistan. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, officials suspect that Tehrik-i-Taliban Pakistan (TTP) was involved.",Military,Tehrik-i-Taliban Pakistan (TTP),Firearms,0,0
113195,201301020020,2013,1,2,Pakistan,South Asia,Khyber Pakhtunkhwa,Shah Mansur,34.066666999999995,72.45002099999999,"01/02/2013: An assailant attacked a cleric at a mosque in Shah Mansur village, Swabi district, Khyber Pakhtunkhwa, Pakistan. Moulana Naseebullah was shot twice, dying from his injuries. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Firearms,1,0
113199,201301020024,2013,1,2,Pakistan,South Asia,Balochistan,Pir Koh,29.141928999999998,69.099877,"01/02/2013: Assailants planted an explosive device at a gas pipeline in Pir Koh area, Balochistan, Pakistan. The blast damaged the pipeline, disrupting the supply line; however, there were no reported casualties. No group claimed responsibility for the incident.",Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
