year,injuries,fatalities,region,count
1972,0,0,Central America & Caribbean,1
1976,0,0,Central America & Caribbean,2
1979,1,1,Central America & Caribbean,4
1980,0,0,Central America & Caribbean,4
1981,2,1,Central America & Caribbean,4
1983,1,0,Central America & Caribbean,9
1984,0,0,Central America & Caribbean,2
1986,0,0,Central America & Caribbean,5
1987,0,1,Central America & Caribbean,4
1988,1,0,Central America & Caribbean,1
1989,0,0,Central America & Caribbean,2
1990,54,2,Central America & Caribbean,15
1991,0,2,Central America & Caribbean,16
1992,20,3,Central America & Caribbean,37
1994,0,21,Central America & Caribbean,3
1995,0,3,Central America & Caribbean,6
1996,0,0,Central America & Caribbean,2
1997,4,3,Central America & Caribbean,6
1999,0,0,Central America & Caribbean,1
2000,0,0,Central America & Caribbean,1
2009,0,1,Central America & Caribbean,1
2016,0,0,Central America & Caribbean,1
