,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49673,199201090016,1992,1,9,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Government (General),20 December Movement (M-20),Explosives/Bombs/Dynamite,0,0
49750,199201160008,1992,1,16,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
49762,199201170007,1992,1,17,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
49787,199201190009,1992,1,19,Panama,Central America & Caribbean,,San Miguelito,9.0333333,-79.5,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
49852,199201250006,1992,1,25,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
49928,199201310010,1992,1,31,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Airports & Aircraft,Unknown,Firearms,0,0
50191,199202210009,1992,2,21,Panama,Central America & Caribbean,,Arrican,8.95,-79.65,,Utilities,20 December Movement (M-20),Unknown,0,0
50250,199202270003,1992,2,27,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Journalists & Media,20 December Movement (M-20),Explosives/Bombs/Dynamite,0,0
50254,199202280002,1992,2,28,Panama,Central America & Caribbean,,Panama City,8.994269000000001,-79.518792,,Private Citizens & Property,20 December Movement (M-20),Explosives/Bombs/Dynamite,0,0
50831,199204030008,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
50832,199204030009,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
50833,199204030010,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
50834,199204030011,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
50835,199204030012,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
50836,199204030013,1992,4,3,Panama,Central America & Caribbean,,Alto Bayano,9.17,-79.1,,Business,Kuna Indians,Incendiary,0,0
51071,199204250004,1992,4,25,Panama,Central America & Caribbean,,Carti,9.299763,-79.109099,,Airports & Aircraft,Narco-Terrorists,Firearms,0,0
51146,199204300008,1992,4,30,Panama,Central America & Caribbean,,Balboa,8.95,-79.5666667,,Police,Unknown,Firearms,0,0
