,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
37486,198903100016,1989,3,10,Papua New Guinea,Australasia & Oceania,Papua,Unknown,-4.373414,139.35147800000001,,Police,Unknown,Firearms,2,0
38283,198905220004,1989,5,22,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
38292,198905220013,1989,5,22,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Transportation,Unknown,Firearms,0,8
38384,198905300012,1989,5,30,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Educational Institution,Unknown,Firearms,0,1
38466,198906080006,1989,6,8,Papua New Guinea,Australasia & Oceania,,Panguna,-6.315071,155.495276,,Food or Water Supply,Unknown,Incendiary,0,0
38545,198906180005,1989,6,18,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Business,Unknown,Firearms,0,6
38602,198906230002,1989,6,23,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
38603,198906230003,1989,6,23,Papua New Guinea,Australasia & Oceania,,Panguna,-6.158372693,155.38221230000002,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
38662,198906300001,1989,6,30,Papua New Guinea,Australasia & Oceania,,Mount Hagen,-5.858188,144.24293400000002,,Government (General),Unknown,Firearms,1,0
38676,198907020001,1989,7,2,Papua New Guinea,Australasia & Oceania,,Arawa,-6.228251,155.565903,,Government (General),Unknown,Unknown,0,1
38677,198907020002,1989,7,2,Papua New Guinea,Australasia & Oceania,,Arawa,-6.228251,155.565903,,Government (General),Unknown,Firearms,0,0
38753,198907100006,1989,7,10,Papua New Guinea,Australasia & Oceania,,Kobuan,-6.2192620000000005,155.627069,,Business,Unknown,Firearms,3,0
38772,198907120011,1989,7,12,Papua New Guinea,Australasia & Oceania,,Aropa Airport,-6.304047,155.72656,,Business,Unknown,Firearms,0,0
39176,198908160017,1989,8,16,Papua New Guinea,Australasia & Oceania,,Kobuan,-6.2192620000000005,155.627069,,Government (General),Unknown,Firearms,0,3
39404,198909030002,1989,9,3,Papua New Guinea,Australasia & Oceania,,Lae,-6.723669999999999,146.990906,,Police,Unknown,Firearms,1,0
39452,198909050011,1989,9,5,Papua New Guinea,Australasia & Oceania,North Solomons,Bougainville Island,-6.158372693,155.38221230000002,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
39472,198909050031,1989,9,5,Papua New Guinea,Australasia & Oceania,North Solomons,Berempa,-6.158372693,155.38221230000002,,Transportation,Unknown,Firearms,0,0
39483,198909060006,1989,9,6,Papua New Guinea,Australasia & Oceania,North Solomons,Bougainville Island,-6.158372693,155.38221230000002,,Police,Unknown,Firearms,0,0
39566,198909110002,1989,9,11,Papua New Guinea,Australasia & Oceania,,Toboroi,-6.2723,155.66859399999998,,Government (General),Unknown,Firearms,1,0
39765,198909240001,1989,9,24,Papua New Guinea,Australasia & Oceania,North Solomons,Jaba River Valley,-6.158372693,155.38221230000002,,Military,Unknown,Firearms,0,1
39773,198909250001,1989,9,25,Papua New Guinea,Australasia & Oceania,,Kerau,-8.25,147.06666669999998,,Business,Unknown,Firearms,2,0
40465,198911120005,1989,11,12,Papua New Guinea,Australasia & Oceania,,Itkara,-6.219231,155.496286,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
40696,198911300008,1989,11,30,Papua New Guinea,Australasia & Oceania,,Arawa,-6.228251,155.565903,,Telecommunication,Bougainville Revolutionary Army (BRA),Explosives/Bombs/Dynamite,0,0
40980,198912290009,1989,12,29,Papua New Guinea,Australasia & Oceania,North Solomons,Bougainville Island,-6.158372693,155.38221230000002,,Police,Unknown,Firearms,3,5
