year,injuries,fatalities,region,count
1970,1,1,South America,1
1976,0,1,South America,1
1980,0,3,South America,2
1984,1,1,South America,2
1985,0,0,South America,1
1987,0,0,South America,1
1992,0,0,South America,4
1994,2,1,South America,2
1995,16,0,South America,12
1997,12,1,South America,6
1999,1,2,South America,1
2000,3,0,South America,2
2010,7,2,South America,2
2011,4,0,South America,4
2012,2,1,South America,4
2013,15,12,South America,10
2014,2,6,South America,15
2015,0,13,South America,19
2016,2,10,South America,15
