,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
143149,201501250001,2015,1,25,Paraguay,South America,Concepcion,Azotey,-23.318849,-56.488096,"01/25/2015: Assailants attacked a La Gringa ranch in Azotey district, Concepcion department, Paraguay. There were no reported casualties; however two tractors and a building were damaged in the attack. The Paraguayan People's Army (EPP) claimed responsibility for the incident.",Business,Paraguayan People's Army (EPP),Incendiary,0,0
143491,201501300103,2015,1,30,Paraguay,South America,Unknown,Unknown,,,"01/30/2015: Assailants kidnapped two German farmers and four ranch workers 155 miles from Asuncion city, Paraguay. The ranch workers escaped soon afterward, while the bodies of the farmers were found 10 hours later. No group claimed responsibility for the incident; however, sources attributed the abduction to the Paraguayan People's Army (EPP).",Private Citizens & Property,Paraguayan People's Army (EPP),Firearms,2,0
144442,201502180064,2015,2,18,Paraguay,South America,Concepcion,Azotey,-23.318849,-56.488096,"02/18/2015: Assailants opened fire on a police station in Azotey town, Concepcion department, Paraguay. There were no reports of casualties in the gunfire. This was one of two attacks on police stations in the area on the same day. No group claimed responsibility; however, officials attributed the incident to the Paraguayan People's Army (EPP).",Police,Paraguayan People's Army (EPP),Firearms,0,0
144443,201502180065,2015,2,18,Paraguay,South America,Concepcion,Kurusu de Hierro,-23.124529000000003,-56.69481999999999,"02/18/2015: Assailants opened fire on a police station in Kurusu de Hierro town, Concepcion department, Paraguay. There were no reports of casualties in the gunfire. This was one of two attacks on police stations in the area on the same day. The Paraguayan People's Army (EPP) claimed responsibility for the incident through a pamphlet left at the scene.",Police,Paraguayan People's Army (EPP),Firearms,0,0
144554,201502210101,2015,2,20,Paraguay,South America,Concepcion,Arroyito,-23.266556,-56.450292000000005,"02/20/2015: Assailants attacked a police station in Arroyito, Concepcion, Paraguay. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, officials attributed the attack to the Paraguayan People's Army (EPP).",Police,Paraguayan People's Army (EPP),Unknown,0,0
144555,201502210102,2015,2,21,Paraguay,South America,Canindeyu,Nueva Esperanza,-24.502438,-54.856367000000006,"02/21/2015: Assailants opened fire on a police station in Nueva Esperanza, Canindeyu, Paraguay. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, officials suspect the involvement of the Paraguayan People's Army (EPP).",Police,Paraguayan People's Army (EPP),Unknown,0,0
145759,201503240099,2015,3,23,Paraguay,South America,San Pedro,Alegria,-24.194867000000002,-56.561647,"03/24/2015: Assailants attacked a ranch in Tacuti, San Pedro, Paraguay. Three employees of the ranch were killed in the attack. In addition, a building and several pieces of construction equipment were set on fire by the perpetrators. The Paraguayan People's Army (EPP) claimed responsibility for the incident through pamphlets left at the scene.",Business,Paraguayan People's Army (EPP),Firearms,3,0
150221,201507120099,2015,7,12,Paraguay,South America,San Pedro,Estancia La Yeya,-24.194867000000002,-56.561647,"07/12/2015: Assailants attacked a Paraguayan Police Force vehicle near Estancia La Yeya, San Pedro department, Paraguay. At least two officers were killed and their vehicle was later burned in the incident. No group claimed responsibility; however, sources attributed the attack to the Paraguayan People's Army (EPP).",Police,Paraguayan People's Army (EPP),Incendiary,2,0
150418,201507170085,2015,7,17,Paraguay,South America,San Pedro,Unknown,-24.194867000000002,-56.561647,"07/17/2015: Assailants opened fire on a Paraguayan Police Force vehicle in Yaguarete Forest, San Pedro department, Paraguay. At least three police officers were killed and their vehicle was set on fire in the assault. No group claimed responsibility; however, authorities suspected that the attack was carried out by the Paraguayan People's Army (EPP).",Police,Paraguayan People's Army (EPP),Firearms,3,0
151080,201508030126,2015,8,3,Paraguay,South America,San Pedro,Cororo,-23.43903,-56.501362,"08/03/2015: Assailants abducted three people from a ranch in Cororo, San Pedro department, Paraguay. One of the hostages, identified as Angelo Silvio Barboza Deip, was killed while the other two victims were released unharmed later the same day. No group claimed responsibility; however, sources attributed the attack to the Paraguayan People's Army (EPP).",Business,Paraguayan People's Army (EPP),Firearms,1,0
