year,injuries,fatalities,region,count
1973,0,0,South America,3
1974,15,0,South America,3
1975,0,0,South America,2
1977,0,0,South America,4
1978,0,0,South America,4
1979,1,5,South America,3
1980,5,2,South America,64
1981,19,10,South America,149
1982,71,243,South America,350
1983,263,1818,South America,536
1984,519,2467,South America,592
1985,127,729,South America,352
1986,271,513,South America,568
1987,357,773,South America,627
1988,246,855,South America,355
1989,340,1502,South America,630
1990,237,1146,South America,495
1991,420,1412,South America,658
1992,762,818,South America,383
1994,64,81,South America,91
1995,48,103,South America,44
1996,74,74,South America,42
1997,57,47,South America,58
1998,12,7,South America,5
1999,3,28,South America,5
2000,6,4,South America,3
2001,9,16,South America,3
2002,32,9,South America,2
2003,10,7,South America,1
2004,5,6,South America,3
2005,2,7,South America,2
2006,0,7,South America,1
2007,52,18,South America,4
2008,0,0,South America,1
2009,9,19,South America,4
2012,8,10,South America,6
2013,4,6,South America,10
2014,12,4,South America,12
2015,7,6,South America,10
2016,7,11,South America,3
