,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
44897,199101010009,1991,1,1,Peru,South America,Arequipa,Acari,-15.433660999999999,-74.617006,,Private Citizens & Property,Shining Path (SL),Firearms,2,0
44985,199101070003,1991,1,7,Peru,South America,Ayacucho,Ayacucho,-13.163874,-74.223564,,Private Citizens & Property,Shining Path (SL),Explosives/Bombs/Dynamite,0,5
44986,199101070004,1991,1,7,Peru,South America,La Libertad,Trujillo,-8.111825,-79.02866,,Airports & Aircraft,Tupac Amaru Revolutionary Movement (MRTA),Firearms,1,2
44992,199101080003,1991,1,8,Peru,South America,Ayacucho,Ayacucho,-13.163939000000001,-74.223474,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
45047,199101120005,1991,1,12,Peru,South America,Junin,Huancayo,-12.068306,-75.210163,,Private Citizens & Property,Shining Path (SL),Firearms,3,0
45052,199101130003,1991,1,13,Peru,South America,Lima,Ayaviri,-12.383939999999999,-76.136119,,Private Citizens & Property,Shining Path (SL),Explosives/Bombs/Dynamite,1,2
45058,199101140002,1991,1,14,Peru,South America,Lima,Lima,-12.046378,-77.04279100000001,,Government (General),Tupac Amaru Revolutionary Movement (MRTA),Explosives/Bombs/Dynamite,1,100
45083,199101160011,1991,1,16,Peru,South America,Unknown,Jarhuahuran,,,,Private Citizens & Property,Shining Path (SL),Firearms,23,5
45084,199101160012,1991,1,16,Peru,South America,Huanuco,Huanuco,-9.929478,-76.239738,,Police,Shining Path (SL),Firearms,1,1
45163,199101220016,1991,1,22,Peru,South America,Ayacucho,Ayacucho,-13.163874,-74.223564,,Police,Shining Path (SL),Explosives/Bombs/Dynamite,11,0
45178,199101230008,1991,1,23,Peru,South America,Lambayeque,Chiclayo,-6.779131,-79.83941999999999,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
45200,199101250010,1991,1,25,Peru,South America,Lima,Lima,-12.046378,-77.04279100000001,,Airports & Aircraft,Shining Path (SL),Explosives/Bombs/Dynamite,1,4
