,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142085,201501020080,2015,1,2,Philippines,Southeast Asia,Basilan,Lamitan,6.6607899999999995,122.140401,"01/02/2015: Security forces found and defused an explosive device planted in a passenger jeep in Lamitan city, Basilan province, Philippines. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
142101,201501030047,2015,1,3,Philippines,Southeast Asia,Sultan Kudarat,Sumilalao,6.7001,124.73288000000001,"01/03/2015: Assailants attacked a military detachment in Sumilalao village, President Quirino town, Sultan Kudarat province, Philippines. This was one of two similar attacks in the Philippines on the same date. One soldier was killed and three soldiers were wounded across both attacks. No group claimed responsibility; however, sources attributed the incident to the Bangsamoro Islamic Freedom Movement (BIFM).",Military,Bangsamoro Islamic Freedom Movement (BIFM),Firearms,1,2
142102,201501030048,2015,1,3,Philippines,Southeast Asia,Maguindanao,Kulasi,6.802292,124.677007,"01/03/2015: Assailants attacked a military detachment in Kulasi village, General Salipada K. Pendatun town, Maguindanao province, Philippines. This was one of two similar attacks in the Philippines on the same date. One soldier was killed and three soldiers were injured across both attacks. No group claimed responsibility; however, sources attributed the incident to the Bangsamoro Islamic Freedom Movement (BIFM).",Military,Bangsamoro Islamic Freedom Movement (BIFM),Firearms,0,1
142175,201501040067,2015,1,4,Philippines,Southeast Asia,Northern Samar,Napo,12.53232,125.12051799999999,"01/04/2015: Assailants stopped a soldier along a road in Napo village, Palapag town, Northern Samar province, Philippines. When the soldier resisted, the attackers opened fire, killing the soldier. No group claimed responsibility; however, sources attributed the incident to the New People's Army (NPA).",Military,New People's Army (NPA),Firearms,1,0
142219,201501050056,2015,1,5,Philippines,Southeast Asia,Pangasinan,Punta,15.814055999999999,120.32063500000001,"01/05/2015: Assailants opened fire on Dionisio Viray in Punta village, Mangatarem town, Pangasinan province, Philippines. Viray, a village councilor, was killed in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,1,0
142220,201501050057,2015,1,5,Philippines,Southeast Asia,Isabela,Patul,16.6715,121.5318,"01/05/2015: Assailants opened fire on George Apostol in Patul village, Isabela province, Philippines. Apostol, a village councilor, was killed in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,1,0
142246,201501060029,2015,1,6,Philippines,Southeast Asia,Sulu,Jolo,6.05,121.0,"01/06/2015: Assailants kidnapped a child in Asturias village, Jolo city, Sulu province, Philippines. The hostage was released on February 20, 2015. No group claimed responsibility for the incident; however, sources attributed the abduction to the Abu Sayyaf Group (ASG).",Private Citizens & Property,Abu Sayyaf Group (ASG),Firearms,0,0
142251,201501060034,2015,1,6,Philippines,Southeast Asia,Maguindanao,Guindulungan,6.978003999999999,124.38739699999999,"01/06/2015: Assailants fired rockets at the house of Akmad Ampatuan, a former mayor, in Guindulungan area, Shariff Aguak town, Maguindanao province, Philippines. A bystander was wounded in the attack. No group claimed responsibility for the incident; however, sources suspected the involvement of Tamano Mamalapat, a former member of the Moro Islamic Liberation Front (MILF).",Government (General),Unknown,Explosives/Bombs/Dynamite,0,1
142271,201501070015,2015,1,7,Philippines,Southeast Asia,Lanao del Sur,Bubong,7.885051,124.16620900000001,"01/07/2015: Assailants attacked an election official in Bubong town, Lanao del Sur province, Philippines. The official, Bashier Ampa, was killed in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,1,0
142279,201501070030,2015,1,7,Philippines,Southeast Asia,Basilan,Lukketun,6.426872,122.011242,"01/07/2015: An explosive device detonated at a rubber plantation in Lukketun village, Sumisip town, Basilan province, Philippines. One worker was injured in the blast. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,0,1
142310,201501070089,2015,1,7,Philippines,Southeast Asia,Siquijor,Poblacion,9.1584,123.4996,"01/07/2015: An explosive device planted in the car of a judge detonated in Poblacion village, San Juan town, Siquijor province, Philippines. No one was injured in the blast, but the car was destroyed. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
142346,201501080051,2015,1,8,Philippines,Southeast Asia,Bataan,Tuyo,14.694419,120.53873600000001,"01/08/2015: Assailants opened fire on Nerlita Ledesma in Tuyo village, Bataan province, Philippines. Ledesma, a tabloid reporter, was killed in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,1,0
142405,201501090088,2015,1,9,Philippines,Southeast Asia,Maguindanao,Shariff Aguak,6.861545,124.443546,"01/09/2015: Assailants attacked a military base with rockets in Shariff Aguak town, Maguindanao province, Philippines. There were no reports of casualties from the attack. No group claimed responsibility; however sources attributed the incident to the Bangsamoro Islamic Freedom Movement (BIFM), stating that they were retaliating after the military's capture of their main camp.",Military,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,0,0
142412,201501090095,2015,1,9,Philippines,Southeast Asia,Cavite,Imus,14.420209,120.939674,"01/09/2015: Assailants opened fire on Wahid Micawayan Saliling in Bayan Luma II area, Imus city, Cavite province, Philippines. Saliling, a village chair, was killed in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,1,0
142439,201501100063,2015,1,10,Philippines,Southeast Asia,Sulu,Kiyutaan,5.969382,121.04401599999998,"01/10/2015: Assailants launched grenades at a Barangay Peacekeeping Action Team (BPAT) patrol in Kiyutaan village, Sulu province, Philippines. A BPAT member was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",Police,Abu Sayyaf Group (ASG),Explosives/Bombs/Dynamite,0,1
142458,201501100084,2015,1,10,Philippines,Southeast Asia,North Cotabato,Pikit,7.053719999999999,124.67358700000001,"01/10/2015: An explosive device was discovered and safely defused in Pikit town, North Cotabato province, Philippines. No group claimed responsibility for the incident; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",Unknown,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,0,0
142590,201501130023,2015,1,13,Philippines,Southeast Asia,Maguindanao,Galakit,7.051969000000001,124.724173,"01/13/2015: An explosive device detonated at a National Grid Corporation of the Philippines (NGCP) transmission tower in Galakit village, Maguindanao province, Philippines. There were no reported casualties, although the tower was damaged in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",Utilities,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,0,0
