year,injuries,fatalities,region,count
1973,1,0,Western Europe,1
1975,0,0,Western Europe,4
1976,11,3,Western Europe,15
1977,11,0,Western Europe,15
1978,11,0,Western Europe,4
1979,6,3,Western Europe,15
1980,9,3,Western Europe,8
1981,3,2,Western Europe,10
1982,1,3,Western Europe,3
1983,4,8,Western Europe,9
1984,13,3,Western Europe,14
1985,8,1,Western Europe,20
1986,1,1,Western Europe,11
1988,0,2,Western Europe,2
1989,0,1,Western Europe,1
1992,1,0,Western Europe,1
1994,0,2,Western Europe,1
1995,15,0,Western Europe,3
2011,0,0,Western Europe,2
