,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
24223,198501310001,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24224,198501310002,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24225,198501310003,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24226,198501310004,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24227,198501310005,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24228,198501310006,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24229,198501310007,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24230,198501310008,1985,1,31,Portugal,Western Europe,Beja,Beja,38.015624,-7.865237,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
24463,198503110001,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24464,198503110002,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24465,198503110003,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24466,198503110004,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24467,198503110005,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24468,198503110006,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24469,198503110007,1985,3,11,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24495,198503140002,1985,3,14,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Business,Popular Forces of April 25,Explosives/Bombs/Dynamite,0,0
24882,198505070003,1985,5,7,Portugal,Western Europe,Santarem,Gloria do Ribatejo,39.04222,-8.643086,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
25705,198507190009,1985,7,19,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Private Citizens & Property,Popular Forces of April 25,Firearms,1,0
25756,198507270003,1985,7,27,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Government (Diplomatic),Revolutionary Autonomous Group,Explosives/Bombs/Dynamite,0,0
26852,198512230006,1985,12,23,Portugal,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,0
