,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
160445,201604040065,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160446,201604040066,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160447,201604040067,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160448,201604040068,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160449,201604040069,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160450,201604040070,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a police station in Brazzaville, Republic of the Congo. This was one of 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,2,0
160451,201604040071,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a customs checkpoint in Brazzaville, Republic of the Congo. This was one of at least 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
160452,201604040072,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a customs checkpoint in Brazzaville, Republic of the Congo. This was one of at least 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
160453,201604040073,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a government water office in Brazzaville, Republic of the Congo. This was one of at least 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
160454,201604040074,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants attacked a government forestry office in Brazzaville, Republic of the Congo. This was one of at least 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
160455,201604040075,2016,4,4,Republic of the Congo,Sub-Saharan Africa,Brazzaville,Brazzaville,-4.267288,15.291947,"04/04/2016: Assailants set fire to an unspecified number of civilian homes in Brazzaville, Republic of the Congo. This was one of at least 11 coordinated attacks in the city on the same day. At least three police officers, two civilians, and 12 assailants were killed across the ensuing clashes. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
167170,201609300002,2016,9,30,Republic of the Congo,Sub-Saharan Africa,Pool,Mindouli,-4.270169999999999,14.358989999999999,"09/30/2016: Assailants opened fire on Gendarmerie soldiers on a train in Mindouli, Pool, Republic of the Congo. At least 14 people, including soldiers and civilians, were killed in the assault. No group claimed responsibility; however, sources identified the assailants as former Ninjas members.",Transportation,Unknown,Firearms,14,0
167800,201610170084,2016,10,17,Republic of the Congo,Sub-Saharan Africa,Pool,Mindouli district,-4.26825,14.358825,"10/17/2016: Assailants set fire to three vehicles along Congo-Brazzaville Highway in Mindouli district, Pool, Republic of the Congo. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,0
