year,injuries,fatalities,region,count
1992,38,34,Eastern Europe,21
1994,33,34,Eastern Europe,47
1995,34,145,Eastern Europe,37
1996,124,135,Eastern Europe,66
1997,108,61,Eastern Europe,77
1998,118,49,Eastern Europe,26
1999,678,395,Eastern Europe,54
2000,568,362,Eastern Europe,138
2001,454,228,Eastern Europe,135
2002,426,512,Eastern Europe,89
2003,812,328,Eastern Europe,76
2004,1176,607,Eastern Europe,43
2005,350,156,Eastern Europe,63
2006,59,57,Eastern Europe,56
2007,140,55,Eastern Europe,51
2008,233,95,Eastern Europe,170
2009,218,141,Eastern Europe,152
2010,609,231,Eastern Europe,251
2011,433,160,Eastern Europe,188
2012,260,161,Eastern Europe,151
2013,288,148,Eastern Europe,144
2014,88,67,Eastern Europe,48
2015,24,21,Eastern Europe,21
2016,61,64,Eastern Europe,54
