,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
94781,201001040004,2010,1,4,Russia,Eastern Europe,Ingushetia,Nazran,43.22836185,44.83349991,"01/04/2010: On Monday afternoon at 1640, an improvised explosive device exploded on the railroad tracks on the outskirts of Nazran, Russia. The explosion targeting a cargo train caused six car to be derailed and two meters of the track to be damaged. The explosion site had a crater larger then one meter in width. There were no casualties and no group claimed responsibility.",Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
94786,201001060005,2010,1,6,Russia,Eastern Europe,Dagestan,Makhachkala,42.978367999999996,47.491066,"01/06/2010: On Wednesday morning at 0755, a suicide bomber blew up his Niva car packed with 100 kilograms of explosives outside the GIBDD traffic police headquarters in Makhachkala, Dagestan, Russia, killing four police officers, injuring 10 other people, and damaging over 100 vehicles and breaking windows on numerous buildings in a 200 meter radius of the blast. No group claimed responsibility for the attack.",Police,Unknown,Explosives/Bombs/Dynamite,6,20
94806,201001100006,2010,1,10,Russia,Eastern Europe,Ingushetia,Nazran,43.216667,44.766667,"01/10/2010: On Sunday evening at 2030, an unidentified gunman with a snipers rifle targeted a DPS, traffic police post on the 569th kilometer marker on the federal highway in Nasyr-Kortskiy district in Nazran, Ingushetia, Russia. The shooting occurred for ten minutes before the gunman got away. There were no casualties and no group claimed responsibility.",Police,Unknown,Firearms,0,0
94810,201001110002,2010,1,11,Russia,Eastern Europe,Dagestan,Makhachkala,42.978367999999996,47.491066,"01/11/2010: On Monday, in Makhachkala, Dagestan, Russia, law enforcement personnel found and disabled an improvised explosive device consisting of a metal pipe filled with ammonium nitrate and aluminum powder that was placed under a  BMW belonging to a traffic police officer, which was parked 15 meters from secondary school No. 3. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
94812,201001110004,2010,1,11,Russia,Eastern Europe,Dagestan,Kizlyar,43.85,46.716667,"01/11/2010: On Monday evening, an unidentified gunman shot Akhmed Ibragimoc, Iman of mosque in Kizlyar and deputy director of IA Regnum Kizlyarsky electromechanical factory, point blank in the head. Ibragimoc was returning home that evening from prayer on Kormasova street, Kizlyar, Russia. There were no other casualties reported and no group claimed responsibility.",Religious Figures/Institutions,Unknown,Firearms,1,0
94814,201001120001,2010,1,12,Russia,Eastern Europe,Dagestan,Tagirkent,42.20198375,48.04867077,"01/12/2010: On Tuesday evening at 2009, an improvised explosive device, targeting the Mozdok-to-Gazimagomed pipeline, exploded in the Derbentsky District, Russia. The pipeline was damaged and caught on fire, leaving the city of Derbent, Degestanskiye-Ogni, and the village of Mamedkala with out gas. The explosion cause no damage and no group clamed responsibility.",Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
94829,201001140005,2010,1,14,Russia,Eastern Europe,Ingushetia,Nazran,43.216667,44.766667,"01/14/2010: On Thursday evening at 1950, near the central mosque in Nazran, Ingushetia, Russia, unknown gunmen firing a grenade launcher at an armored police car killed one traffic policeman and injured three others. No damages were reported and no group claimed responsibility.",Police,Unknown,Explosives/Bombs/Dynamite,1,3
94830,201001140006,2010,1,14,Russia,Eastern Europe,Ingushetia,Pliyevo,43.2819,44.8321,"01/14/2010: On Thursday, in the village of Pliyevo, Nazranovsky District, Ingushetia, Russia, assailants fired upon a car carrying police Colonel Ruslan Pliyev and one of his colleagues. Both policemen were wounded and were hospitalized, their car was also damaged. No group claimed responsibility for the attack.",Police,Unknown,Firearms,0,2
94902,201001200006,2010,1,20,Russia,Eastern Europe,Dagestan,Levashi,42.4364,47.3307,"01/20/2010: On Wednesday around noon, in the village of Levashi, Levashinsky, Dagestan, Russia, two masked gunmen shot and seriously injured the deputy chief tax inspector, Nabigull Aliyev, while he was sitting in his car. The attackers made a getaway in a silver VAZ-2199 vehicle. No damages were reported and no group claimed responsibility.",Government (General),Unknown,Firearms,0,1
94969,201001260004,2010,1,26,Russia,Eastern Europe,Ingushetia,Magas,43.173137,44.812872,"01/26/2010: On Tuesday, in Magas, Ingushetia, Russia, a grenade attack was prevented when two grenade launchers were found in an attic of an apartment complex. One of the barrels of the rocket launchers found in the attic was pointed toward the presidential administration building and the other towards the Federal Security Service. No group claimed responsibility for the attempted grenade attack.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
