year,injuries,fatalities,region,count
1991,0,0,Sub-Saharan Africa,3
1992,182,141,Sub-Saharan Africa,18
1994,9,1571,Sub-Saharan Africa,33
1995,86,201,Sub-Saharan Africa,17
1996,3,129,Sub-Saharan Africa,15
1997,274,1027,Sub-Saharan Africa,33
1998,51,100,Sub-Saharan Africa,9
2000,0,4,Sub-Saharan Africa,1
2001,1,2,Sub-Saharan Africa,2
2005,0,30,Sub-Saharan Africa,1
2008,4,0,Sub-Saharan Africa,1
2009,52,4,Sub-Saharan Africa,1
2010,85,6,Sub-Saharan Africa,8
2011,49,2,Sub-Saharan Africa,2
2012,40,10,Sub-Saharan Africa,6
2013,62,6,Sub-Saharan Africa,4
2014,16,1,Sub-Saharan Africa,2
2016,0,0,Sub-Saharan Africa,1
