,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
55223,199402210005,1994,2,21,Rwanda,Sub-Saharan Africa,Butare,Mbazi,-2.5274900000000002,29.733916999999998,,Government (General),Hutu extremists,Unknown,2,0
55231,199402220001,1994,2,22,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,0,0
55232,199402220002,1994,2,22,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Private Citizens & Property,Unknown,Unknown,2,0
55430,199403120003,1994,3,12,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
55490,199403150001,1994,3,15,Rwanda,Sub-Saharan Africa,Byumba,Kinihara District,-1.663935,29.987060999999997,,Business,Unknown,Firearms,5,0
55753,199404060004,1994,4,6,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Explosives/Bombs/Dynamite,12,0
55754,199404060005,1994,4,6,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Religious Figures/Institutions,Unknown,Firearms,19,0
55770,199404070002,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
55771,199404070003,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Military,Unknown,Firearms,10,0
55772,199404070004,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55773,199404070005,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55774,199404070006,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55775,199404070007,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55776,199404070008,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55777,199404070009,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55778,199404070010,1994,4,7,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,1,0
55842,199404120004,1994,4,12,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Military,Unknown,Firearms,2,0
55860,199404130008,1994,4,13,Rwanda,Sub-Saharan Africa,Kigali,Gikoro,-1.9327869999999998,30.332456,,Private Citizens & Property,Hutu extremists,Firearms,1180,0
55861,199404130009,1994,4,13,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Police,Unknown,Firearms,1,0
55977,199404240003,1994,4,24,Rwanda,Sub-Saharan Africa,Butare,Butare,-2.607735,29.736193,,Business,Unknown,Firearms,170,0
56223,199405150004,1994,5,15,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (General),Unknown,Firearms,0,1
56274,199405190002,1994,5,19,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Business,Rwanda Patriotic Front (RPF),Explosives/Bombs/Dynamite,30,0
56275,199405190003,1994,5,19,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
56276,199405190004,1994,5,19,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,NGO,Unknown,Firearms,0,1
56314,199405240001,1994,5,24,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Government (Diplomatic),Unknown,Firearms,0,0
56444,199406080006,1994,6,8,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Religious Figures/Institutions,Rwanda Patriotic Front (RPF),Firearms,13,0
56445,199406080007,1994,6,8,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Educational Institution,Unknown,Firearms,0,1
56456,199406090003,1994,6,9,Rwanda,Sub-Saharan Africa,Kigali,Kigali,-1.949011,30.057852,,Religious Figures/Institutions,Unknown,Firearms,70,0
56545,199406180007,1994,6,18,Rwanda,Sub-Saharan Africa,Unknown,Unknown,,,,Government (Diplomatic),Rwanda Patriotic Front (RPF),Firearms,1,1
57468,199410170002,1994,10,17,Rwanda,Sub-Saharan Africa,Gitarama,Ruyenzi,-1.96325,29.995181,,Religious Figures/Institutions,Unknown,Melee,1,0
57537,199410250002,1994,10,25,Rwanda,Sub-Saharan Africa,Kigali,Kanzenze,-2.077969,30.072236,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,2
57583,199410300013,1994,10,30,Rwanda,Sub-Saharan Africa,Cyangugu,Rutagara,-2.516032,29.268044,,Private Citizens & Property,Hutu extremists,Unknown,36,0
58084,199412300004,1994,12,30,Rwanda,Sub-Saharan Africa,Kibungu,Kigarama,-2.079646,30.558131,,Private Citizens & Property,Hutu extremists,Unknown,10,3
