year,injuries,fatalities,region,count
1977,0,0,Middle East & North Africa,1
1979,10,5,Middle East & North Africa,1
1984,1,0,Middle East & North Africa,2
1985,3,1,Middle East & North Africa,2
1986,32,62,Middle East & North Africa,1
1988,0,0,Middle East & North Africa,1
1989,16,1,Middle East & North Africa,3
1991,6,0,Middle East & North Africa,2
1994,0,0,Middle East & North Africa,2
1995,161,14,Middle East & North Africa,3
1996,386,19,Middle East & North Africa,1
2000,5,1,Middle East & North Africa,5
2001,7,2,Middle East & North Africa,3
2002,0,1,Middle East & North Africa,2
2003,128,55,Middle East & North Africa,8
2004,293,64,Middle East & North Africa,17
2005,0,1,Middle East & North Africa,1
2006,8,4,Middle East & North Africa,3
2007,1,3,Middle East & North Africa,1
2009,13,5,Middle East & North Africa,3
2011,15,3,Middle East & North Africa,2
2012,10,4,Middle East & North Africa,6
2013,2,1,Middle East & North Africa,6
2014,23,20,Middle East & North Africa,14
2015,281,213,Middle East & North Africa,103
2016,196,161,Middle East & North Africa,124
