,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
156884,201601010032,2016,1,1,Saudi Arabia,Middle East & North Africa,Asir,Abha,18.219808999999998,42.505303999999995,"01/01/2016: Assailants launched a missile at Abha city, Asir province, Saudi Arabia. The missile was intercepted by defense forces. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
156985,201601040043,2016,1,4,Saudi Arabia,Middle East & North Africa,Eastern,Awamiyah,26.583455999999998,49.983074,"01/04/2016: Gunmen opened fire on police officers in Awamiyah, Eastern province, Saudi Arabia. One civilian was killed and one was wounded in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,1,1
157018,201601050043,2016,1,5,Saudi Arabia,Middle East & North Africa,Eastern,Qatif,26.554865000000003,49.995568,"01/05/2016: Assailants set fire to a bus carrying 49 Saudi Arabian Oil Company (Aramco) employees in Al-Qatif, Eastern province, Saudi Arabia. There were no reported casualties. No group claimed responsibility for the incident.",Business,Unknown,Incendiary,0,0
157062,201601060039,2016,1,6,Saudi Arabia,Middle East & North Africa,Eastern,Awamiyah,26.583455999999998,49.983074,"01/06/2016: Assailants abducted a civilian in Awamiyah, Eastern province, Saudi Arabia. The hostage was released later the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,0
157098,201601070044,2016,1,7,Saudi Arabia,Middle East & North Africa,Jazan,Unknown,17.25564,42.727309000000005,"01/07/2016: Assailants shelled Jazan province, Saudi Arabia. At least three people were killed and nine others were injured in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,3,9
157099,201601070045,2016,1,7,Saudi Arabia,Middle East & North Africa,Jazan,Unknown,17.294844,42.695584000000004,"01/07/2016: Assailants fired a into Jazan province, Saudi Arabia. The missile was intercepted and there were no casualties. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
157147,201601090030,2016,1,10,Saudi Arabia,Middle East & North Africa,Eastern,Qatif,26.556032000000002,49.996228,"01/10/2016: Assailants threw incendiary devices at the General Intelligence Presidency (GIP) compound in Al-Qatif, Eastern province, Saudi Arabia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
157810,201601260046,2016,1,26,Saudi Arabia,Middle East & North Africa,Jazan,Harth,16.801231,43.150663,"01/26/2016: Assailants fired projectiles at a Saudi Border guard post in Harth district, Jazan province, Saudi Arabia. One border guard was killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,1,0
157851,201601280001,2016,1,28,Saudi Arabia,Middle East & North Africa,Jazan,Samtah district,16.596515,42.939034,"01/28/2016: Assailants launched mortars at Samta district, Jizan province, Saudi Arabia. Four people were injured in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,4
157895,201601290001,2016,1,29,Saudi Arabia,Middle East & North Africa,Eastern,Mahasen,21.957182999999997,50.754611,"01/29/2016: Two suicide bombers attacked Imam Rida Mosque in Mahasen neighborhood, Eastern province, Saudi Arabia. In addition to one suicide bomber, four people were killed and 33 others were wounded in the attack. The second suicide bomber was injured and arrested by authorities. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Religious Figures/Institutions,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,5,34
157998,201601310047,2016,1,31,Saudi Arabia,Middle East & North Africa,Eastern,Qatif,26.556239,49.995937,"01/31/2016: Assailants opened fire on a convoy transporting money in Al-Qatif, Eastern province, Saudi Arabia. Two Saudi police officers were killed in the attack. No group claimed responsibility for the attack.",Police,Unknown,Firearms,2,0
