year,injuries,fatalities,region,count
1980,0,0,Sub-Saharan Africa,1
1988,4,2,Sub-Saharan Africa,3
1990,65,20,Sub-Saharan Africa,11
1991,0,5,Sub-Saharan Africa,4
1992,22,64,Sub-Saharan Africa,15
1994,0,5,Sub-Saharan Africa,2
1995,23,18,Sub-Saharan Africa,8
1997,48,92,Sub-Saharan Africa,26
1998,4,4,Sub-Saharan Africa,1
1999,12,1,Sub-Saharan Africa,1
2000,12,4,Sub-Saharan Africa,4
2001,19,28,Sub-Saharan Africa,8
2002,19,8,Sub-Saharan Africa,3
2005,0,0,Sub-Saharan Africa,1
2007,13,1,Sub-Saharan Africa,1
2008,22,10,Sub-Saharan Africa,2
2009,4,9,Sub-Saharan Africa,3
2010,2,3,Sub-Saharan Africa,1
2011,6,21,Sub-Saharan Africa,4
2012,40,16,Sub-Saharan Africa,12
2013,1,7,Sub-Saharan Africa,3
2014,3,7,Sub-Saharan Africa,2
2015,4,0,Sub-Saharan Africa,2
