,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64832,199703150014,1997,3,15,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Firearms,0,0
65932,199707170004,1997,7,17,Senegal,Sub-Saharan Africa,Ziguinchor,Diouloulou,13.05,-16.6,,Police,Unknown,Unknown,2,0
66081,199708030003,1997,8,3,Senegal,Sub-Saharan Africa,Ziguinchor,Ziguinchor,12.583333,-16.266667,,Military,Unknown,Firearms,2,0
66136,199708080004,1997,8,8,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Military,Movement of Democratic Forces of Casamance,Firearms,0,0
66392,199708300004,1997,8,30,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Private Citizens & Property,Unknown,Melee,4,0
66393,199708300005,1997,8,30,Senegal,Sub-Saharan Africa,Ziguinchor,Etafoune,12.433333,-16.4,,Transportation,Unknown,Explosives/Bombs/Dynamite,3,10
66457,199709070002,1997,9,7,Senegal,Sub-Saharan Africa,Kolda,Boumkilinj,13.05,-15.7,,Business,Unknown,Unknown,5,0
66462,199709080001,1997,9,8,Senegal,Sub-Saharan Africa,Ziguinchor,Djibinor,12.545556,-16.259167,,Private Citizens & Property,Unknown,Unknown,9,17
66521,199709120002,1997,9,12,Senegal,Sub-Saharan Africa,Unknown,Santhiaba Mandjack,,,,Military,Movement of Democratic Forces of Casamance,Unknown,26,2
66577,199709190002,1997,9,19,Senegal,Sub-Saharan Africa,Unknown,Karamacounda,,,,Military,Movement of Democratic Forces of Casamance,Firearms,1,7
66646,199709270004,1997,9,27,Senegal,Sub-Saharan Africa,Ziguinchor,Diogue,12.574444,-16.7525,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Unknown,11,0
66880,199710230001,1997,10,23,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,1,0
66896,199710250003,1997,10,25,Senegal,Sub-Saharan Africa,Unknown,Gaguitt,,,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,2,1
66967,199711040003,1997,11,4,Senegal,Sub-Saharan Africa,Ziguinchor,Oussouye district,12.488449000000001,-16.543676,,Government (General),Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,0,0
66968,199711040004,1997,11,4,Senegal,Sub-Saharan Africa,Ziguinchor,Oussouye district,12.488449000000001,-16.543676,,Government (General),Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,0,0
66969,199711050002,1997,11,5,Senegal,Sub-Saharan Africa,Unknown,Moulomp,,,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,1,0
66979,199711060005,1997,11,6,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Unknown,Unknown,Explosives/Bombs/Dynamite,5,0
67032,199711130003,1997,11,13,Senegal,Sub-Saharan Africa,Unknown,Mapalago V.,,,,Transportation,Movement of Democratic Forces of Casamance,Firearms,3,5
67226,199712060007,1997,12,6,Senegal,Sub-Saharan Africa,Ziguinchor,Sindone,12.600999999999999,-16.077164,,Private Citizens & Property,Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,2,1
67304,199712170002,1997,12,17,Senegal,Sub-Saharan Africa,Ziguinchor,Bignona,12.805092,-16.234564000000002,,Police,Unknown,Firearms,3,0
67335,199712200002,1997,12,20,Senegal,Sub-Saharan Africa,Ziguinchor,Ziguinchor,12.583333,-16.266667,,Transportation,Movement of Democratic Forces of Casamance,Firearms,2,0
67336,199712200003,1997,12,20,Senegal,Sub-Saharan Africa,Ziguinchor,Ziguinchor,12.583333,-16.266667,,Transportation,Movement of Democratic Forces of Casamance,Firearms,2,0
67361,199712230003,1997,12,23,Senegal,Sub-Saharan Africa,Unknown,Niakhoum,,,,Transportation,Movement of Democratic Forces of Casamance,Firearms,4,5
67362,199712230004,1997,12,23,Senegal,Sub-Saharan Africa,Unknown,Unknown,,,,Transportation,Movement of Democratic Forces of Casamance,Firearms,4,0
67365,199712230007,1997,12,23,Senegal,Sub-Saharan Africa,Unknown,Niakhoum,,,,Transportation,Movement of Democratic Forces of Casamance,Firearms,0,0
67366,199712230008,1997,12,23,Senegal,Sub-Saharan Africa,Unknown,Niakhoum,,,,Transportation,Movement of Democratic Forces of Casamance,Firearms,0,0
