year,injuries,fatalities,region,count
1975,0,0,Sub-Saharan Africa,1
1980,0,1,Sub-Saharan Africa,1
1981,2,0,Sub-Saharan Africa,8
1983,0,0,Sub-Saharan Africa,1
1984,2,0,Sub-Saharan Africa,2
1987,0,0,Sub-Saharan Africa,1
1988,5,0,Sub-Saharan Africa,2
1989,0,30,Sub-Saharan Africa,2
1990,0,5,Sub-Saharan Africa,12
1991,0,6,Sub-Saharan Africa,8
1992,12,8,Sub-Saharan Africa,21
1994,116,78,Sub-Saharan Africa,57
1995,162,29,Sub-Saharan Africa,13
1996,8,28,Sub-Saharan Africa,16
1997,138,145,Sub-Saharan Africa,19
1998,0,0,Sub-Saharan Africa,1
1999,6,9,Sub-Saharan Africa,4
2000,39,36,Sub-Saharan Africa,9
2001,0,3,Sub-Saharan Africa,5
2002,6,6,Sub-Saharan Africa,3
2003,0,7,Sub-Saharan Africa,1
2004,1,6,Sub-Saharan Africa,2
2005,56,20,Sub-Saharan Africa,6
2006,35,22,Sub-Saharan Africa,10
2007,554,408,Sub-Saharan Africa,156
2008,564,436,Sub-Saharan Africa,172
2009,605,381,Sub-Saharan Africa,122
2010,395,295,Sub-Saharan Africa,130
2011,640,344,Sub-Saharan Africa,185
2012,719,775,Sub-Saharan Africa,318
2013,597,646,Sub-Saharan Africa,334
2014,780,1582,Sub-Saharan Africa,863
2015,799,1390,Sub-Saharan Africa,407
2016,1275,1558,Sub-Saharan Africa,590
