,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125150,201401010002,2014,1,1,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.038353,45.342073,"01/01/2014: A suicide bomber detonated an explosives-laden vehicle at the Jazeera Hotel in Mogadishu city, Banaadir region, Somalia. At least four people, including civilians and assailants, were killed in the blast. This was one of three bombings at the hotel on this day; this first attack was meant to draw first responders to the scene. At least 40 other people were wounded across the two suicide incidents. Al-Shabaab claimed responsibility for the attacks.",Business,Al-Shabaab,Explosives/Bombs/Dynamite,4,20
125153,201401010005,2014,1,1,Somalia,Sub-Saharan Africa,Middle Juba,Buale,1.097128,42.598368,"01/01/2014: Assailants abducted ten individuals who worked with foreign aid agencies in Buale city, Middle Juba region, Somalia. Three of the victims were released on January 10, 2014; the whereabouts of the other workers are unknown. No group claimed responsibility for the incident; however, sources attributed the kidnapping to Al-Shabaab.",NGO,Al-Shabaab,Unknown,0,0
125175,201401010039,2014,1,1,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.038353,45.342073,"01/01/2014: A suicide bomber detonated an explosives-laden vehicle at the Jazeera Palace hotel in Mogadishu city, Banaadir region, Somalia. At least seven people, including civilians and assailants, were killed in the blast. This was one of three bombings at the hotel on this day; this later explosion occurred as first responders were arriving on the scene of an earlier attack. At least 40 other people were wounded across the two suicide incidents. Al-Shabaab claimed responsibility for the attacks.",Military,Al-Shabaab,Explosives/Bombs/Dynamite,7,20
125176,201401010040,2014,1,1,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.038353,45.342073,"01/01/2014: An explosives-laden vehicle detonated outside of the Jazeera Palace hotel in Mogadishu city, Banaadir region, Somalia. There were no reported casualties in the incident. This was the one of three car bombings outside of the hotel on this day. This explosion occurred approximately one hour after the initial suicide attacks near the entrance of the hotel. Al-Shabaab claimed responsibility for the incidents.",Business,Al-Shabaab,Explosives/Bombs/Dynamite,0,0
125192,201401020007,2014,1,2,Somalia,Sub-Saharan Africa,Bay,Baidoa,3.1166669999999996,43.65,"01/02/2014: A roadside bomb detonated near the vehicle of a village chief in Gofgadud area outside of Baidoa city, Bay region, Somalia. Three people, including village chief Abdullahi Abdi Enow, and two soldiers, were killed in the blast. Al-Shabaab claimed responsibility for the incident.",Government (General),Al-Shabaab,Explosives/Bombs/Dynamite,3,0
125268,201401040001,2014,1,4,Somalia,Sub-Saharan Africa,Bay,Buulo Eyle,2.7991080000000004,44.079390999999994,"01/04/2014: Assailants abducted Dr. Abukar Hashim from Buur Hakaba town, Bay region, Somalia. The whereabouts of Dr. Hashim, a World Health Organization (WHO) official, remain unknown. No group claimed responsibility for the kidnapping; however, sources attributed the incident to Al-Shabaab.",Government (Diplomatic),Al-Shabaab,Unknown,0,0
125269,201401040003,2014,1,4,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.058538,45.351006,"01/04/2014: A roadside bomb detonated near soldiers in Yaaqshid district, Mogadishu city, Banaadir region, Somalia. Two people were killed, including a civilian and a soldier, while two soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources suspected that Al-Shabaab was involved.",Government (General),Al-Shabaab,Explosives/Bombs/Dynamite,2,2
125273,201401040014,2014,1,4,Somalia,Sub-Saharan Africa,Lower Shebelle,Janale,1.807696,44.693574,"01/04/2014: Assailants attacked a Somali National Army (SNA) checkpoint in Janale town, Lower Shebelle region, Somalia. The number of casualties are unknown. No group claimed responsibility for the incident; however, the source attributed the attack to Al-Shabaab.",Military,Al-Shabaab,Unknown,0,0
125274,201401040015,2014,1,4,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.038353,45.342073,"01/04/2014: Assailants opened fire on a civilian near Dhobley bus station in Howlwadag district, Mogadishu city, Banaadir region, Somalia. The civilian was killed in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Shabaab was involved.",Private Citizens & Property,Al-Shabaab,Firearms,1,0
125348,201401050004,2014,1,5,Somalia,Sub-Saharan Africa,Middle Shebelle,Jowhar,2.78,45.5008,"01/05/2014: Assailants threw a grenade at soldiers in the Hantiwadaag market in Jowhaar town, Middle Shebelle region, Somalia. The soldiers were attempting to buy khat. One person was injured in the attack. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,1
