year,injuries,fatalities,region,count
1974,1,0,Sub-Saharan Africa,1
1976,0,2,Sub-Saharan Africa,1
1977,35,5,Sub-Saharan Africa,15
1978,3,6,Sub-Saharan Africa,9
1979,30,8,Sub-Saharan Africa,16
1980,31,26,Sub-Saharan Africa,23
1981,24,8,Sub-Saharan Africa,42
1982,74,9,Sub-Saharan Africa,26
1983,316,28,Sub-Saharan Africa,56
1984,83,21,Sub-Saharan Africa,60
1985,251,82,Sub-Saharan Africa,106
1986,437,153,Sub-Saharan Africa,159
1987,388,120,Sub-Saharan Africa,133
1988,606,152,Sub-Saharan Africa,245
1989,141,57,Sub-Saharan Africa,149
1990,293,150,Sub-Saharan Africa,154
1991,387,384,Sub-Saharan Africa,127
1992,447,706,Sub-Saharan Africa,271
1994,581,447,Sub-Saharan Africa,174
1995,88,105,Sub-Saharan Africa,32
1996,106,82,Sub-Saharan Africa,47
1997,4,23,Sub-Saharan Africa,17
1998,31,13,Sub-Saharan Africa,6
1999,74,4,Sub-Saharan Africa,17
2000,45,18,Sub-Saharan Africa,21
2002,1,1,Sub-Saharan Africa,8
2007,1,1,Sub-Saharan Africa,2
2008,0,0,Sub-Saharan Africa,1
2012,4,5,Sub-Saharan Africa,4
2013,5,2,Sub-Saharan Africa,13
2014,8,9,Sub-Saharan Africa,20
2015,32,5,Sub-Saharan Africa,5
2016,11,21,Sub-Saharan Africa,27
