,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49577,199201010008,1992,1,1,South Africa,Sub-Saharan Africa,Mpumalanga,Nelspruit,-25.474193,30.969455,,Educational Institution,Right-wing extremists,Explosives/Bombs/Dynamite,0,0
49581,199201020001,1992,1,2,South Africa,Sub-Saharan Africa,Gauteng,Soweto,-26.246319,27.853677,,Police,Pan Africanist Congress (PAC),Firearms,2,0
49587,199201020007,1992,1,2,South Africa,Sub-Saharan Africa,Gauteng,Verwoerdburg,-25.862732,28.192522999999998,,Government (General),Right-wing extremists,Explosives/Bombs/Dynamite,0,0
49588,199201020008,1992,1,2,South Africa,Sub-Saharan Africa,Gauteng,Krugersdorp,-26.095841,27.758589,,Government (General),Right-wing extremists,Explosives/Bombs/Dynamite,0,0
49591,199201020011,1992,1,2,South Africa,Sub-Saharan Africa,Gauteng,Soweto,-26.246319,27.853677,,Police,Unknown,Firearms,2,0
49592,199201020012,1992,1,2,South Africa,Sub-Saharan Africa,Gauteng,Thokoza,-26.353159,28.132727000000003,,Police,Unknown,Firearms,2,0
49605,199201040006,1992,1,4,South Africa,Sub-Saharan Africa,Eastern Cape,Ladygrey,-30.711043,27.218659999999996,,Police,Unknown,Explosives/Bombs/Dynamite,0,3
49606,199201040007,1992,1,4,South Africa,Sub-Saharan Africa,Gauteng,Bekkersdal,-26.280609000000002,27.703698,,Police,Unknown,Firearms,0,0
49610,199201050004,1992,1,5,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Imbali,-29.641928999999998,30.347358000000003,,Government (General),Unknown,Firearms,3,0
49636,199201070007,1992,1,7,South Africa,Sub-Saharan Africa,Gauteng,Johannesburg,-26.177929000000002,27.974858,,Business,Azania People's Organization (AZAPO),Explosives/Bombs/Dynamite,0,0
49744,199201160002,1992,1,16,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Hibberdene,-30.571475,30.573046,,Private Citizens & Property,Unknown,Firearms,7,0
49791,199201200003,1992,1,20,South Africa,Sub-Saharan Africa,KwaZulu-Natal,umbumbulu,-29.984896999999997,30.703335,,Private Citizens & Property,Unknown,Firearms,1,0
49792,199201200004,1992,1,20,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Umbumbulu,-29.984896999999997,30.703335,,Private Citizens & Property,Unknown,Firearms,6,0
49814,199201220005,1992,1,22,South Africa,Sub-Saharan Africa,Gauteng,Crown,-26.222797999999997,28.012176,,Transportation,Unknown,Unknown,0,3
49815,199201220006,1992,1,22,South Africa,Sub-Saharan Africa,Gauteng,Langlaagte,-26.201283,27.986891999999997,,Transportation,Unknown,Melee,4,0
49878,199201270001,1992,1,27,South Africa,Sub-Saharan Africa,Gauteng,Johannesburg,-26.177929000000002,27.974858,,Private Citizens & Property,Unknown,Firearms,1,0
49879,199201270002,1992,1,27,South Africa,Sub-Saharan Africa,Gauteng,Johannesburg,-26.177929000000002,27.974858,,Government (General),Unknown,Firearms,1,0
49920,199201310002,1992,1,31,South Africa,Sub-Saharan Africa,Gauteng,Boksburg,-26.209307,28.261948999999998,,Private Citizens & Property,Unknown,Melee,2,0
49952,199202020007,1992,2,2,South Africa,Sub-Saharan Africa,Natal,Unknown,-29.601439000000003,30.376695,,Private Citizens & Property,Unknown,Firearms,8,0
49962,199202040002,1992,2,4,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Folweni,-29.994826,30.824819,,Violent Political Party,Unknown,Firearms,4,0
49963,199202040003,1992,2,4,South Africa,Sub-Saharan Africa,Gauteng,Johannesburg,-26.177929000000002,27.974858,,Transportation,Unknown,Melee,1,0
49980,199202050005,1992,2,5,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Sinating,-29.663338,30.283452,,Private Citizens & Property,Unknown,Firearms,4,0
49989,199202050014,1992,2,5,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Pateni,-29.934074,30.146634000000002,,Government (General),Unknown,Firearms,1,0
50005,199202070003,1992,2,7,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Umlazi,-29.965819,30.882976,,Government (General),Unknown,Firearms,1,0
50025,199202080002,1992,2,8,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Inanda,-29.684008000000002,30.932428,,Transportation,Unknown,Firearms,1,0
50026,199202080003,1992,2,8,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Pietermaritzburg,-29.658879,30.855026000000002,,Violent Political Party,Unknown,Firearms,1,0
50033,199202080012,1992,2,8,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Matshana,-28.744253999999998,31.840525,,Violent Political Party,Unknown,Firearms,1,0
50034,199202080013,1992,2,8,South Africa,Sub-Saharan Africa,Gauteng,Soweto,-26.246319,27.853677,,Business,Unknown,Firearms,2,0
50120,199202160008,1992,2,16,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Esikhawini,-28.867819,31.916368,,Violent Political Party,African National Congress (South Africa),Unknown,4,0
50121,199202160009,1992,2,16,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Umlazi,-29.965819,30.882976,,Private Citizens & Property,Unknown,Firearms,1,0
50126,199202170005,1992,2,17,South Africa,Sub-Saharan Africa,Gauteng,Katlehong,-26.363175,28.15222,,Transportation,Unknown,Firearms,4,0
50134,199202170013,1992,2,17,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Tugela Ferry,-28.739009000000003,30.461792,,Private Citizens & Property,Unknown,Firearms,6,0
50151,199202180016,1992,2,18,South Africa,Sub-Saharan Africa,Western Cape,Khayelitsha,-34.040083,18.677805,,Private Citizens & Property,Unknown,Incendiary,7,0
50162,199202190005,1992,2,19,South Africa,Sub-Saharan Africa,Gauteng,Soweto,-26.246319,27.853677,,Private Citizens & Property,Unknown,Firearms,2,0
50171,199202190014,1992,2,19,South Africa,Sub-Saharan Africa,Gauteng,Nancefield,-26.303458000000003,27.910049,,Police,Unknown,Firearms,0,1
50186,199202210004,1992,2,21,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Umkomaas,-30.201373999999998,30.794471,,Private Citizens & Property,Unknown,Firearms,1,0
50194,199202210012,1992,2,21,South Africa,Sub-Saharan Africa,Gauteng,Sharpeville,-26.687046000000002,27.870962,,Business,Unknown,Firearms,4,3
50199,199202220003,1992,2,22,South Africa,Sub-Saharan Africa,Gauteng,Katlehong,-26.363175,28.15222,,Private Citizens & Property,Unknown,Firearms,2,7
50200,199202220004,1992,2,22,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Empangeni,-28.752252000000002,31.893167,,Violent Political Party,Inkatha Freedom Party (IFP),Firearms,2,0
