,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
157891,201601280056,2016,1,28,South Sudan,Sub-Saharan Africa,Upper Nile,Makak,8.40809,33.187128,"01/28/2016: Assailants attacked Makak village, Upper Nile, South Sudan. At least 24 people were killed and 25 others were wounded in the attack. In addition, two children were abducted and seven others were reported missing in the attack. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Murle Tribe.",Private Citizens & Property,Murle Tribe,Firearms,24,25
159296,201603040029,2016,3,4,South Sudan,Sub-Saharan Africa,Jubek,Juba,4.848173,31.595051,"03/04/2016: Assailants abducted and tortured Joseph Afandy, a South Sudanese journalist, in Juba, Central Equatoria, South Sudan. Afandy was badly injured and was discovered near the Hai Malakal Cemetary in Juba on March 7, 2016. No group claimed responsibility for the abduction.",Journalists & Media,Unknown,Unknown,0,1
159634,201603130020,2016,3,16,South Sudan,Sub-Saharan Africa,Unity,Koch district,8.654055,29.892544,"03/16/2016: Assailants opened fire on a passenger bus in Koch, Unity, South Sudan. At least 12 people were killed, over 50 others were injured, and three people were reported missing. the whereabouts of the missing victims are unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Transportation,Sudan People's Liberation Movement in Opposition (SPLM-IO),Explosives/Bombs/Dynamite,12,51
160762,201604130035,2016,4,13,South Sudan,Sub-Saharan Africa,Yei River,Nahr Yei district,4.095271,30.677505,"04/13/2016: Assailants attacked the vehicle of aid workers from the Danish Demining Group (DDG) in Yei region, Central Equitoria South Sudan. Two employees were killed in the attack. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Firearms,2,0
161026,201604190051,2016,4,19,South Sudan,Sub-Saharan Africa,West Equatoria,Bangasu,4.798757,29.005256,"04/19/2016: Assailants opened fire on a police vehicle in Bangasu, West Equatoria, South Sudan. At least one police officer was killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,1,0
161232,201604250077,2016,4,25,South Sudan,Sub-Saharan Africa,Unity,Bentiu,9.24518,29.791203000000003,"04/25/2016: Assailants fired a rocket-propelled grenade at a United Nations Mission in the Republic of South Sudan (UNMISS) compound in Bentiu, Unity, South Sudan. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
162887,201606040048,2016,6,4,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Kerepi,3.8969709999999997,31.928110999999998,"06/04/2016: Assailants abducted a journalist and his family member from their residence in Kerepi, Eastern Equatoria, South Sudan. The journalist, Identified as Isaac Vuni, was killed and his body was discovered on or before September 26, 2016. The fate of the remaining hostage is unknown. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,1,0
163049,201606070056,2016,6,7,South Sudan,Sub-Saharan Africa,Jonglei,Twic East district,6.8664380000000005,31.4913,"06/07/2016: Assailants opened fire on civilians in Twic East district, Jonglei, South Sudan. At least four people were injured in the assault. No group claimed responsibility; however, sources suspected that the attack was carried out by the Murle Tribe.",Private Citizens & Property,Murle Tribe,Firearms,0,4
163179,201606110045,2016,6,11,South Sudan,Sub-Saharan Africa,Jubek,Juba,4.859363,31.57125,"06/11/2016: Assailants shot and killed a United States Department of State security guard in Juba, Jubek, South Sudan. No group claimed responsibility for the attack.",Government (Diplomatic),Unknown,Firearms,1,0
163306,201606150025,2016,6,15,South Sudan,Sub-Saharan Africa,Lol,Raja,8.470082000000001,25.678476,"06/15/2016: Assailants opened fire on Sudan People's Liberation Army (SPLA) soldiers in Raja, Lol, South Sudan. The assailants also set fire to the residence of the local governor. At least 41 people, including seven soldiers, 20 civilians, and 14 assailants, were killed and five other people were injured in the ensuing clash. No group claimed responsibility; however, authorities attributed the attack to the Islamic Movement for the Liberation of Raja and the Lord's Resistance Army (LRA). Source also suspected that the incident may have been carried out by the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Government (General),Islamic Movement for the Liberation of Raja,Firearms,41,5
163552,201606210058,2016,6,21,South Sudan,Sub-Saharan Africa,Wau,Wau,7.706139,27.991466,"06/21/2016: Assailants abducted Albino Andrea in Kebel Kheir neighborhood, Wau, South Sudan. Andrea, the cameraperson for Governor Rizik Zackariah Hassan, was tortured and released on June 23, 2016. No group claimed responsibility for the attack.",Journalists & Media,Unknown,Firearms,0,1
163699,201606250035,2016,6,25,South Sudan,Sub-Saharan Africa,Lol,Wau,7.709188,27.983473999999998,"06/25/2016: Assailants attacked Wau city in Lol, South Sudan. At least 43 people, including four police officers, were killed in the assault. No group claimed responsibility; however, sources attributed the incident to the Islamic Movement for the Liberation of Raja.",Private Citizens & Property,Islamic Movement for the Liberation of Raja,Firearms,43,0
164122,201607070022,2016,7,7,South Sudan,Sub-Saharan Africa,Jubek,Juba,4.863338,31.558451,"07/07/2016: Assailants opened fire on military personnel in Juba, Central Equatoria, South Sudan. Five soldiers were killed and four others, including two assailants and two soldiers, were injured in the ensuing clash. The Sudan People's Liberation Movement in Opposition (SPLM-IO) claimed responsibility for the incident.",Military,Sudan People's Liberation Movement in Opposition (SPLM-IO),Firearms,5,4
164195,201607090042,2016,7,9,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Magwi,4.129175,32.299203999999996,"07/09/2016: Assailants abducted 18 traders in Magwii, Eastern Equatoria, South Sudan. The outcome of the abduction is unknown. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,0
165216,201608060023,2016,8,6,South Sudan,Sub-Saharan Africa,Gbudwe,Nagasi,4.935129,28.170633000000002,"08/06/2016: Assailants opened fire on the vehicle of Patrick Zamoi in Nagasi, Gbudwe, South Sudan. Zamoi, the governor of Gbudwe, was not harmed, but three people were killed and three others were injured in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,3,3
165599,201608140040,2016,8,14,South Sudan,Sub-Saharan Africa,Unknown,Unknown,,,"08/14/2016: Assailants opened fire on security personnel on Torit-Kapoeta road, South Sudan. At least one soldier was killed and four soldiers were injured in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,1,4
165604,201608140049,2016,8,14,South Sudan,Sub-Saharan Africa,Imatong,Lubone,4.106278,32.297967,"08/14/2016: Assailants abducted eight Ugandan timber dealers in Lubone, Imatong, South Sudan. Two hostages were released on August 16th, 2016 and the fate of the remaining hostages is unknown. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Unknown,0,0
165774,201608190039,2016,8,19,South Sudan,Sub-Saharan Africa,Jonglei,Pajut,7.1819619999999995,32.356095,"08/19/2016: Assailants attacked Pajut, Jonglei, South Sudan. At least 250 assailants and 33 people, including civilians and soldiers, were killed and an unknown number were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Private Citizens & Property,Sudan People's Liberation Movement in Opposition (SPLM-IO),Firearms,283,0
165804,201608200044,2016,8,20,South Sudan,Sub-Saharan Africa,Jonglei,Panyagoor,7.333111,31.415796000000004,"08/20/2016: Assailants attacked civilians between Poktap and Panyagoor, Jonglei, South Sudan. Five people were killed in the assault. No group claimed responsibility for the incident; however, sources suspected that the Nuer White Army carried out the attack.",Private Citizens & Property,Nuer White Army,Unknown,5,0
166251,201609030048,2016,9,4,South Sudan,Sub-Saharan Africa,Western Equatoria,Yambio,4.577569,28.398784000000003,"09/00/2016: Sometime between September 1 and September 7, 2016, assailants opened fire on a Doctors Without Borders driver in Yambio, Western Equatoria, South Sudan. The driver and his wife were killed in the attack. No group claimed responsibility for the incident.",NGO,Unknown,Firearms,2,0
166287,201609040092,2016,9,4,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Magwi district,3.8969709999999997,31.928110999999998,"09/04/2016: Assailants opened fire on a passenger bus in Magwi district, Eastern Equatoria, South Sudan. At least one person was killed and five people were injured in the attack. Four people were also abducted, and the outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Transportation,Sudan People's Liberation Movement in Opposition (SPLM-IO),Firearms,1,5
166359,201609060079,2016,9,7,South Sudan,Sub-Saharan Africa,Western Equatoria,Yambio,4.577569,28.398784000000003,"09/07/2016: Assailants attacked the house of Silivinio Caciano, a World Vision International staff member, in Yambio, Western Equatoria, South Sudan. Caciano and three family members were killed in the assault. No group claimed responsibility for the incident.",NGO,Unknown,Firearms,4,0
166360,201609060080,2016,9,7,South Sudan,Sub-Saharan Africa,Western Equatoria,Yambio,4.577569,28.398784000000003,"09/07/2016: Assailants equipped with grenades and firearms attacked the house of Joseph Tindiri in Yambio, Western Equatoria, South Sudan. Tindiri, a member of the Gbudue State Legislative Assembly, was not harmed in the assault. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
166394,201609070063,2016,9,2,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Loa,3.787898,31.982857,"09/02/2016: Assailants detonated explosive devices and opened fire on military personnel in Loa, Eastern Equatoria, South Sudan. At least two soldiers were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Military,Sudan People's Liberation Movement in Opposition (SPLM-IO),Explosives/Bombs/Dynamite,2,0
166466,201609090048,2016,9,9,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Loa,3.787898,31.982857,"09/09/2016: Assailants opened fire on buses in Loa, Eastern Equatoria, South Sudan. At least eight people were killed in the assault. This was one of two related attacks targeting vehicles along the same road on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Transportation,Sudan People's Liberation Movement in Opposition (SPLM-IO),Firearms,8,0
166467,201609090049,2016,9,9,South Sudan,Sub-Saharan Africa,Eastern Equatoria,Loa,3.787898,31.982857,"09/09/2016: Assailants opened fire on two fuel tankers in Loa, Eastern Equatoria, South Sudan. At least six people were killed and nine people were injured in the assault. This was one of two related attacks targeting vehicles along the same road on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Business,Sudan People's Liberation Movement in Opposition (SPLM-IO),Firearms,6,9
166526,201609110044,2016,9,11,South Sudan,Sub-Saharan Africa,Yei River,Laso,3.949232,30.467060999999998,"09/00/2016: Sometime between September 1 and September 22, 2016, assailants raided a refugee camp in Laso, Central Equatoria, South Sudan. At least one person was killed and one person was sexually assaulted in the attack. Two people were also abducted, and the outcome of the kidnapping is unknown. No group claimed responsibility for the incident.",Other,Unknown,Firearms,1,1
167108,201609270030,2016,9,26,South Sudan,Sub-Saharan Africa,Unity,Bentiu,9.259689,29.800147999999997,"09/26/2016: Assailants attacked military personnel in Bentiu, Unity, South Sudan. This was one of two related attacks targeting military personnel in the area on this date. Three soldiers and 16 assailants were killed and four soldiers were injured across both of the attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Sudan People's Liberation Movement in Opposition (SPLM-IO).",Military,Sudan People's Liberation Movement in Opposition (SPLM-IO),Unknown,10,2
