,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
41026,199001040004,1990,1,4,Soviet Union,Eastern Europe,,Askeran,39.936667,46.832778000000005,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
41053,199001070005,1990,1,7,Soviet Union,Eastern Europe,,Khojali,39.810998,46.751146999999996,,Police,Unknown,Firearms,0,0
41057,199001070009,1990,1,7,Soviet Union,Eastern Europe,,Khodzhaly,39.810998,46.751146999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
41432,199002180009,1990,2,18,Soviet Union,Eastern Europe,,Askeran (District),39.936667,46.832778000000005,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,15
41771,199003240001,1990,3,24,Soviet Union,Eastern Europe,,Baganis-Airum,41.096667,45.081944,,Private Citizens & Property,Armenian nationalists,Firearms,3,0
41772,199003240002,1990,3,24,Soviet Union,Eastern Europe,,Airum Pirili,,,,Private Citizens & Property,Armenian nationalists,Firearms,3,0
41773,199003240003,1990,3,24,Soviet Union,Eastern Europe,,Chaily,41.126667,45.3075,,Private Citizens & Property,Armenian nationalists,Firearms,3,0
41774,199003240004,1990,3,24,Soviet Union,Eastern Europe,,Drmbon,40.210278,46.809166999999995,,Transportation,Armenian extremists,Firearms,1,4
41782,199003240012,1990,3,24,Soviet Union,Eastern Europe,,Buynaksk,42.816666999999995,47.116667,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
41783,199003240013,1990,3,24,Soviet Union,Eastern Europe,,Meghri,39.319439,46.146091999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
42073,199004120005,1990,4,12,Soviet Union,Eastern Europe,,Aygepar,40.930004,45.467064,,Military,Armenian Group,Firearms,0,0
42101,199004140012,1990,4,14,Soviet Union,Eastern Europe,,Yerevan,40.183333000000005,44.516667,,Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
42240,199004280012,1990,4,28,Soviet Union,Eastern Europe,,Moscow,55.75,37.616667,,Private Citizens & Property,Unknown,Incendiary,0,0
42588,199005260003,1990,5,26,Soviet Union,Eastern Europe,,Yerevan,40.183333000000005,44.516667,,Military,Unknown,Firearms,6,10
42612,199005280001,1990,5,28,Soviet Union,Eastern Europe,,Erubuni,40.140654999999995,44.537997999999995,,Police,Armenian militants,Firearms,15,43
42816,199006090002,1990,6,9,Soviet Union,Eastern Europe,,Osh,39.840737,72.89880699999999,,Government (General),Unknown,Firearms,0,0
42817,199006090003,1990,6,9,Soviet Union,Eastern Europe,,Osh,40.53,72.8,,Military,Unknown,Firearms,0,0
42832,199006090018,1990,6,9,Soviet Union,Eastern Europe,,Kara-Su,42.232222,48.155278,,Police,Unknown,Firearms,1,0
42833,199006090019,1990,6,9,Soviet Union,Eastern Europe,,Kara-Su,42.232222,48.155278,,Government (General),Unknown,Firearms,1,0
43176,199007120002,1990,7,12,Soviet Union,Eastern Europe,,Charektar,40.210278,46.809166999999995,,Private Citizens & Property,Armenian militants,Firearms,3,0
43226,199007150014,1990,7,15,Soviet Union,Eastern Europe,,Stepanakert,39.829805,46.759851,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
43405,199007290001,1990,7,29,Soviet Union,Eastern Europe,Armenia,Unknown,40.069099,45.038189,,Police,Unknown,Firearms,0,0
43535,199008070014,1990,8,7,Soviet Union,Eastern Europe,,Moscow,55.75,37.616667,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
43553,199008100008,1990,8,10,Soviet Union,Eastern Europe,,Gyandzha,40.682778000000006,46.360556,,Transportation,Unknown,Explosives/Bombs/Dynamite,15,16
43669,199008190002,1990,8,19,Soviet Union,Eastern Europe,,Kazakh,41.093333,45.366111,,Private Citizens & Property,Armenian Guerrillas,Firearms,0,0
43670,199008190003,1990,8,19,Soviet Union,Eastern Europe,,Kazakh,41.093333,45.366111,,Private Citizens & Property,Armenian Guerrillas,Firearms,0,0
43671,199008190004,1990,8,19,Soviet Union,Eastern Europe,,Kazakh,41.093333,45.366111,,Transportation,Armenian Guerrillas,Firearms,1,4
43672,199008190005,1990,8,19,Soviet Union,Eastern Europe,,Kazakh,41.093333,45.366111,,Military,Armenian Guerrillas,Firearms,0,1
43682,199008200001,1990,8,20,Soviet Union,Eastern Europe,,baganis-airum,41.096667,45.081944,,Military,Armenian extremists,Firearms,1,8
43712,199008220008,1990,8,22,Soviet Union,Eastern Europe,,Kirovakan,40.812778,44.488333000000004,,Military,Armenian paramilitary group,Firearms,1,0
43764,199008290001,1990,8,29,Soviet Union,Eastern Europe,,Yerevan,40.183333000000005,44.516667,,Government (General),Unknown,Firearms,2,0
44080,199010010008,1990,10,1,Soviet Union,Eastern Europe,,Feodocia,45.031933,35.382433,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
44102,199010050005,1990,10,5,Soviet Union,Eastern Europe,,Novgorod,58.533712,31.291062,,Airports & Aircraft,Unknown,Firearms,0,0
44183,199010140012,1990,10,14,Soviet Union,Eastern Europe,,Stepanakert,39.829805,46.759851,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
44190,199010150007,1990,10,15,Soviet Union,Eastern Europe,Armenia,Unknown,40.069099,45.038189,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
44191,199010150008,1990,10,15,Soviet Union,Eastern Europe,,Vasyurinskaya,45.117799,39.423796,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
