year,injuries,fatalities,region,count
1970,0,0,Western Europe,4
1971,0,0,Western Europe,22
1972,3,2,Western Europe,19
1973,2,6,Western Europe,21
1974,70,19,Western Europe,14
1975,2,31,Western Europe,136
1976,5,17,Western Europe,50
1977,101,44,Western Europe,147
1978,123,84,Western Europe,209
1979,284,112,Western Europe,279
1980,184,116,Western Europe,187
1981,85,39,Western Europe,107
1982,53,42,Western Europe,146
1983,70,42,Western Europe,122
1984,77,51,Western Europe,143
1985,182,67,Western Europe,114
1986,196,57,Western Europe,125
1987,205,62,Western Europe,104
1988,144,25,Western Europe,151
1989,35,29,Western Europe,142
1990,138,32,Western Europe,113
1991,164,46,Western Europe,89
1992,83,29,Western Europe,72
1994,31,17,Western Europe,55
1995,86,18,Western Europe,44
1996,63,5,Western Europe,63
1997,25,11,Western Europe,86
1998,6,6,Western Europe,17
1999,2,0,Western Europe,47
2000,93,29,Western Europe,112
2001,174,14,Western Europe,79
2002,73,5,Western Europe,41
2003,25,3,Western Europe,21
2004,1811,193,Western Europe,31
2005,82,0,Western Europe,24
2006,24,2,Western Europe,23
2007,5,0,Western Europe,11
2008,59,3,Western Europe,37
2009,48,3,Western Europe,21
2010,0,0,Western Europe,3
2012,0,0,Western Europe,1
2013,1,0,Western Europe,5
2014,0,0,Western Europe,4
2015,0,0,Western Europe,1
2016,4,0,Western Europe,3
