,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
7188,197901020003,1979,1,2,Spain,Western Europe,Navarre,Pamplona,42.817988,-1.644184,,Police,Basque Fatherland and Freedom (ETA),Explosives/Bombs/Dynamite,1,0
7198,197901030010,1979,1,3,Spain,Western Europe,Basque Country,Igorre,43.163605,-2.779337,,Private Citizens & Property,Basque Fatherland and Freedom (ETA),Firearms,1,0
7199,197901030011,1979,1,3,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Government (General),Basque Fatherland and Freedom (ETA),Firearms,1,0
7206,197901040002,1979,1,4,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
7207,197901040003,1979,1,4,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
7208,197901040004,1979,1,4,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
7209,197901040005,1979,1,4,Spain,Western Europe,Canary Islands,Las Palmas de Gran Canaria,28.124824,-15.430007999999999,,Police,Canary Islands Independence Movement,Firearms,0,2
7222,197901060007,1979,1,6,Spain,Western Europe,Basque Country,Beasain,43.047076000000004,-2.204605,,Police,Basque Fatherland and Freedom (ETA),Firearms,2,0
7223,197901060008,1979,1,6,Spain,Western Europe,Basque Country,Llodio,43.143332,-2.9629849999999998,,Police,Basque Fatherland and Freedom (ETA),Firearms,0,1
7236,197901090002,1979,1,9,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Government (General),First of October Antifascist Resistance Group (GRAPO),Firearms,1,0
7256,197901120001,1979,1,12,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Police,Unknown,Unknown,0,0
7257,197901120002,1979,1,12,Spain,Western Europe,Madrid,Madrid,40.416691,-3.7003449999999996,,Police,Unknown,Firearms,1,0
7267,197901130008,1979,1,13,Spain,Western Europe,Basque Country,Azcoitia,43.178205,-2.31164,,Police,Basque Fatherland and Freedom (ETA),Explosives/Bombs/Dynamite,2,1
7288,197901150012,1979,1,15,Spain,Western Europe,Basque Country,Bilbao,43.256963,-2.923441,,Police,Basque Fatherland and Freedom (ETA),Firearms,0,0
7293,197901160005,1979,1,16,Spain,Western Europe,Basque Country,Portugalete,43.320664,-3.020252,,Police,Basque Fatherland and Freedom (ETA),Firearms,0,0
7324,197901190004,1979,1,19,Spain,Western Europe,Basque Country,San Sabastian,43.320812,-1.984447,,Private Citizens & Property,Basque Fatherland and Freedom (ETA),Firearms,1,0
7325,197901190005,1979,1,19,Spain,Western Europe,Andalusia,Jerez,36.686562,-6.137173000000001,,Military,Unknown,Firearms,1,0
7331,197901200002,1979,1,20,Spain,Western Europe,Catalonia,Barcelona,41.387917,2.1699189999999997,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
