year,injuries,fatalities,region,count
1975,0,1,South Asia,1
1979,1,2,South Asia,3
1981,6,3,South Asia,2
1982,0,7,South Asia,2
1983,9,6,South Asia,7
1984,225,485,South Asia,81
1985,293,611,South Asia,110
1986,917,690,South Asia,142
1987,781,1274,South Asia,115
1988,981,885,South Asia,350
1989,740,1822,South Asia,510
1990,356,1505,South Asia,141
1991,386,1034,South Asia,115
1992,449,984,South Asia,103
1994,446,186,South Asia,35
1995,599,1020,South Asia,126
1996,2216,827,South Asia,176
1997,544,486,South Asia,64
1998,659,680,South Asia,35
1999,579,212,South Asia,46
2000,950,449,South Asia,68
2001,503,195,South Asia,36
2002,0,3,South Asia,3
2003,7,23,South Asia,9
2004,46,30,South Asia,33
2005,319,125,South Asia,133
2006,1262,1012,South Asia,217
2007,561,410,South Asia,132
2008,1059,352,South Asia,100
2009,549,201,South Asia,37
2010,4,2,South Asia,3
2012,1,0,South Asia,4
2013,29,0,South Asia,14
2014,65,3,South Asia,16
2015,14,3,South Asia,11
2016,2,0,South Asia,1
