,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
36723,198901070001,1989,1,7,Sri Lanka,South Asia,Southern,Dickwella,5.971676,80.695104,,Religious Figures/Institutions,People's Liberation Front (JVP),Unknown,1,0
36732,198901070010,1989,1,7,Sri Lanka,South Asia,Eastern,Trincomalee,8.5922,81.19679599999999,,Military,Unknown,Firearms,3,0
36733,198901070011,1989,1,7,Sri Lanka,South Asia,North Central,Padaviya,8.8341,80.760739,,Military,Unknown,Firearms,4,3
36755,198901100001,1989,1,10,Sri Lanka,South Asia,Western,Panadura,6.714108,79.905627,,Government (General),People's Liberation Front (JVP),Unknown,3,0
36766,198901100012,1989,1,10,Sri Lanka,South Asia,Eastern,Thampalakamam,8.499728,81.094412,,Military,Liberation Tigers of Tamil Eelam (LTTE),Firearms,3,4
36771,198901110005,1989,1,11,Sri Lanka,South Asia,North Central,Horowupatana,8.550101,80.83264,,Government (General),People's Liberation Front (JVP),Firearms,1,0
36784,198901110018,1989,1,11,Sri Lanka,South Asia,Southern,Hungama,6.110092,80.932068,,Military,People's Liberation Front (JVP),Firearms,3,3
36792,198901120008,1989,1,12,Sri Lanka,South Asia,Unknown,Kiwulla,,,,Military,Unknown,Firearms,3,5
36793,198901130001,1989,1,13,Sri Lanka,South Asia,Uva,Siyambalanduwa,6.906671,81.55929300000001,,Private Citizens & Property,People's Liberation Front (JVP),Firearms,2,0
36794,198901130002,1989,1,13,Sri Lanka,South Asia,Southern,Morawaka,6.265280000000001,80.491047,,Business,People's Liberation Front (JVP),Firearms,2,0
36796,198901130004,1989,1,13,Sri Lanka,South Asia,Northern,Vavuniya,8.738157000000001,80.477147,,Military,Liberation Tigers of Tamil Eelam (LTTE),Firearms,1,2
36797,198901130005,1989,1,13,Sri Lanka,South Asia,Southern,Deniyaya,6.342485,80.559658,,Government (General),People's Liberation Front (JVP),Explosives/Bombs/Dynamite,2,0
36837,198901170006,1989,1,17,Sri Lanka,South Asia,Eastern,Trincomalee,8.5922,81.19679599999999,,Government (General),Liberation Tigers of Tamil Eelam (LTTE),Explosives/Bombs/Dynamite,5,16
36846,198901170015,1989,1,17,Sri Lanka,South Asia,Western,Moratuwa,6.788071,79.891281,,Business,People's Liberation Front (JVP),Firearms,1,0
