year,injuries,fatalities,region,count
1973,0,3,Sub-Saharan Africa,1
1981,3,2,Sub-Saharan Africa,1
1982,0,0,Sub-Saharan Africa,3
1983,0,0,Sub-Saharan Africa,3
1984,10,305,Sub-Saharan Africa,5
1986,1,8,Sub-Saharan Africa,6
1987,0,0,Sub-Saharan Africa,1
1988,28,58,Sub-Saharan Africa,10
1989,1,14,Sub-Saharan Africa,8
1990,0,0,Sub-Saharan Africa,1
1991,0,32,Sub-Saharan Africa,3
1992,0,13,Sub-Saharan Africa,7
1994,23,17,Sub-Saharan Africa,5
1995,0,6,Sub-Saharan Africa,4
1996,10,40,Sub-Saharan Africa,10
1997,21,1,Sub-Saharan Africa,3
1999,6,16,Sub-Saharan Africa,5
2000,180,27,Sub-Saharan Africa,7
2001,3,13,Sub-Saharan Africa,9
2002,23,589,Sub-Saharan Africa,13
2004,13,28,Sub-Saharan Africa,5
2005,26,54,Sub-Saharan Africa,6
2006,153,484,Sub-Saharan Africa,24
2007,111,317,Sub-Saharan Africa,23
2008,29,205,Sub-Saharan Africa,32
2009,36,77,Sub-Saharan Africa,26
2010,86,81,Sub-Saharan Africa,28
2011,123,193,Sub-Saharan Africa,38
2012,95,60,Sub-Saharan Africa,40
2013,150,220,Sub-Saharan Africa,46
2014,320,546,Sub-Saharan Africa,157
2015,329,210,Sub-Saharan Africa,158
2016,213,182,Sub-Saharan Africa,173
