keyword,val
north,19.12669639427832
abducted,16.55043679824143
killed,16.357748808521904
south,16.0437855819469
unknown,15.79954775693718
people,15.600994610622006
injured,15.187652320650319
fire,14.04826692682381
opened,13.44670482054025
outcome,13.289036101816395
attacked,12.682118818833601
least,12.058077860253297
civilians,11.870909499785284
kidnapping,11.566668120377424
however,11.535100765784652
sources,11.388341031794809
attributed,11.24836185896466
central,10.539558117325928
assault,10.236111693958629
civilian,9.609592558604456
janjaweed,9.397038230101703
el,8.753720079794455
reported,7.336942252599806
near,7.195528026689372
state,7.149535836206866
area,7.138943864861156
nyala,7.097763874480278
casualties,6.780470423934421
displaced,6.6259699310257805
person,6.482746900629799
shot,6.289187294448997
wounded,6.237102424653762
tawilah,6.2175810799208096
kabkabiya,6.075311663540715
number,6.052281496432219
internally,5.967527499328209
abduction,5.94269310298745
attacks,5.893985641598909
camp,5.792074712773999
persons,5.484051862647396
village,5.450795021978157
others,5.267219737332709
day,5.121294800968454
sexually,4.987829463624427
farmers,4.762605967823086
incidents,4.440472777818849
district,4.138578267746349
east,4.123655637401981
market,3.9842737453053654
raided,3.9823669814487745
whereabouts,3.9212474514284565
kordofan,3.8850596358190237
liberation,3.6094126950211876
movement,3.6094126950211876
idps,3.570610319246964
related,3.105646591389278
across,2.9863256488159315
unspecified,2.850465485439191
villages,2.850465485439191
raids,2.5946360754679363
