,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
156886,201601010036,2016,1,1,Sudan,Sub-Saharan Africa,South Kordofan,Abbasiya,12.167309,31.303206,"01/01/2016: Assailants opened fire on residents in Abbasiya, South Kordofan, Sudan. At least six people were killed and 22 others were injured, including five who were sexually assaulted, in the attack that lasted until January 3, 2016. No group claimed responsibility; however, sources attributed the incident to the Janjaweed.",Private Citizens & Property,Janjaweed,Firearms,6,22
156908,201601020029,2016,1,2,Sudan,Sub-Saharan Africa,South Kordofan,Mazlagan,11.957352,31.031789,"01/02/2016: Assailants attacked a Sudanese Army garrison in Mazlagan town, South Kordofan state, Sudan. At least 14 assailants were killed and unknown number were injured in the ensuing clash. The Sudan People's Liberation Movement - North claimed responsibility for the attack.",Military,Sudan People's Liberation Movement - North,Unknown,14,0
157077,201601070013,2016,1,7,Sudan,Sub-Saharan Africa,North Darfur,Anka,14.685051000000001,24.849351000000002,"01/07/2016: Assailants opened fire on an African Union/United Nations Hybrid Operation in Darfur (UNAMID) patrol in Anka area, North Darfur, Sudan. One peacekeeper was wounded in the attack. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Firearms,0,1
157325,201601130047,2016,1,13,Sudan,Sub-Saharan Africa,North Darfur,Korgo,13.965857999999999,23.677052,"01/13/2016: Assailants abducted an internally displaced person (IDP) in Korgo, North Darfur state, Sudan. The outcome of the kidnapping is unknown. No group claimed responsibility for the attack.",Other,Unknown,Unknown,0,0
157367,201601140045,2016,1,14,Sudan,Sub-Saharan Africa,South Darfur,Safia,11.276933999999999,25.144072,"01/14/2016: Four assailants sexually assaulted two women in Safia, South Darfur state, Sudan. No group claimed responsibility; however, sources attributed the attack to the Janjaweed.",Private Citizens & Property,Janjaweed,Firearms,0,2
157369,201601140047,2016,1,14,Sudan,Sub-Saharan Africa,South Darfur,Donki Kheir,11.451127,25.154544,"01/14/2016: Two assailants attempted to sexually assault a woman near Donki Kheir, South Darfur state, Sudan. After she resisted the sexual assault, the assailants beat and stabbed her. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Melee,0,1
157407,201601150062,2016,1,15,Sudan,Sub-Saharan Africa,North Darfur,Tawilah,13.514197,24.872607000000002,"01/15/2016: Assailants abducted seven people near Tawilah, North Darfur state, Sudan. The outcome of the kidnapping is unknown. No group claimed responsibility for the attack.",Other,Unknown,Unknown,0,0
157496,201601170034,2016,1,17,Sudan,Sub-Saharan Africa,Central Darfur,Zalingei,12.899737,23.476973,"01/17/2016: Assailants opened fire on residents of Hamid Hamidiya camp in Zalingei, Central Darfur, Sudan. Four civilians were wounded in the attack. No group claimed responsibility for the attack, but sources attributed it to the Janjaweed.",Other,Janjaweed,Firearms,0,4
157538,201601180034,2016,1,18,Sudan,Sub-Saharan Africa,Central Darfur,Nierteti,12.977884,23.358972,"01/18/2016: Assailants attacked El Shamaliya Internally Displaced Persons Camp in Nierteti, Central Darfur, Sudan. An unknown number of casualties were reported in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Janjaweed.",Other,Janjaweed,Firearms,0,0
157653,201601220026,2016,1,16,Sudan,Sub-Saharan Africa,North Darfur,Bardi,13.970826,24.641444,"01/16/2016: Assailants attacked Bardi village in North Darfur, Sudan. Four civilians were injured in the attack. No group claimed responsibility for the incident, however, sources attributed the attack to the Janjaweed.",Private Citizens & Property,Janjaweed,Melee,0,4
158013,201601310072,2016,1,31,Sudan,Sub-Saharan Africa,East Darfur,Ed Daein,11.460844,26.128049,"01/31/2016: Assailants attacked an African Union/United Nations Hybrid Operation in Darfur (UNAMID) convoy in Ed Daein, East Darfur, Sudan. There were no reported casualties. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Firearms,0,0
158049,201602010054,2016,2,1,Sudan,Sub-Saharan Africa,Central Darfur,Ronga Ronga,13.185235999999998,23.862729,"02/01/2016: Assailants attacked Ronga Ronga village, Central Darfur state, Sudan. This was one of two related attacks in the Darfur region on this day. Three children were killed across both raids. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Incendiary,2,0
158050,201602010055,2016,2,1,Sudan,Sub-Saharan Africa,North Darfur,Beilei,13.651501999999999,24.090632,"02/01/2016: Assailants attacked Beilei village, Kabkabiya district, North Darfur state, Sudan. This was one of two related attacks in the Darfur region on this day. Three children were killed across both raids. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Incendiary,1,0
158051,201602010056,2016,2,1,Sudan,Sub-Saharan Africa,South Darfur,Gereida,11.278134,25.144448999999998,"02/01/2016: Assailants raided Forika camp in Gireida, South Darfur, Sudan. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the Janjaweed.",Other,Janjaweed,Firearms,0,0
158149,201602030085,2016,2,3,Sudan,Sub-Saharan Africa,South Darfur,Nyala,12.051801,24.880485,"02/03/2016: Assailants abducted two merchants from a market in Nyala, South Darfur, Sudan. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,1
158185,201602040052,2016,2,4,Sudan,Sub-Saharan Africa,North Darfur,Tur,13.133459,24.483331,"02/04/2016: Assailants abducted five female civilians near Tur, Jebel Marrah, North Darfur, Sudan. Four victims were sexually assaulted in the attack and the outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Janjaweed.",Private Citizens & Property,Janjaweed,Melee,0,4
158188,201602040056,2016,2,4,Sudan,Sub-Saharan Africa,North Darfur,Kutum,14.209570999999999,24.646893,"02/04/2016: Assailants opened fire on a merchant in Kutum, North Darfur, Sudan. The merchant, identified as Muhajir, was injured in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,0,1
158189,201602040057,2016,2,4,Sudan,Sub-Saharan Africa,North Darfur,Kutum,14.209570999999999,24.646893,"02/04/2016: Assailants attempted to abduct Adam Awadelkarim Bosh in Kutum, North Darfur, Sudan. Bosh, the brother of the Kutum Commissioner, was unharmed in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Melee,0,0
158222,201602050064,2016,2,5,Sudan,Sub-Saharan Africa,North Darfur,Konj,12.874482,24.295667,"02/05/2016: Assailants abducted Haisam Abdelghani, a student, in Konj village, North Darfur, Sudan. The outcome of the abduction is unknown. This was one of two similar abductions in the village on the same day. No group claimed responsibility for the incidents; however, sources attributed the kidnappings to the Janjaweed.",Private Citizens & Property,Janjaweed,Unknown,0,0
