,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
36762,198901100008,1989,1,10,Suriname,South America,Brokopondo,Affobakka,4.982475,-54.991935,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,3,0
37975,198904230001,1989,4,23,Suriname,South America,Sipaliwini,Pokigron,4.48953,-55.364196,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,0,0
38222,198905160013,1989,5,16,Suriname,South America,Marowijne,Moengo,5.616667,-54.4,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,2
38323,198905240009,1989,5,24,Suriname,South America,Brokopondo,Wakabasee,4.914966000000001,-55.157887,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,0,0
38386,198905300014,1989,5,30,Suriname,South America,Sipaliwini,Lombe,4.372402,-55.805092,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,0,0
38387,198905300015,1989,5,30,Suriname,South America,Brokopondo,Brownsweg,5.0169999999999995,-55.167,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,4,0
38388,198905300016,1989,5,30,Suriname,South America,Brokopondo,Klaaskreek,5.180168,-55.079662,,Private Citizens & Property,Brunswijk Jungle Commando,Firearms,0,0
38408,198906010011,1989,6,1,Suriname,South America,Paramaribo,Paramaribo,5.82789,-55.176219999999994,,Food or Water Supply,Brunswijk Jungle Commando,Firearms,0,0
39289,198908250009,1989,8,25,Suriname,South America,Paramaribo,Paramaribo,5.82789,-55.176219999999994,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
39377,198909010019,1989,9,1,Suriname,South America,Sipaliwini,Apoera,5.167541,-57.16941800000001,,Airports & Aircraft,Surinamese Amerindians,Unknown,0,0
39378,198909010020,1989,9,1,Suriname,South America,Coronie,Unknown,5.6943269999999995,-56.292938,,Maritime,Surinamese Amerindians,Unknown,1,0
40067,198910120021,1989,10,12,Suriname,South America,Marowijne,Moengo,5.616667,-54.4,,Telecommunication,National Liberation Union,Firearms,0,0
40068,198910120022,1989,10,12,Suriname,South America,Marowijne,Moengo,5.616667,-54.4,,Business,National Liberation Union,Firearms,0,0
40210,198910240008,1989,10,24,Suriname,South America,Marowijne,Moengo,5.6009720000000005,-54.416442,,Maritime,Tucayana Amerindians,Firearms,0,0
40212,198910240010,1989,10,24,Suriname,South America,Saramacca,Boskamp,5.7858160000000005,-55.896388,,Maritime,Tacayana Indians,Firearms,0,0
40742,198912040012,1989,12,4,Suriname,South America,Brokopondo,Affobakka,5.0,-54.983332999999995,,Business,White Mercenaries,Firearms,0,0
40743,198912040013,1989,12,4,Suriname,South America,Para,Kraka,5.380948,-55.098965,,Military,White Mercenaries,Firearms,6,4
