year,injuries,fatalities,region,count
1971,2,1,Western Europe,2
1972,0,0,Western Europe,3
1975,13,3,Western Europe,1
1978,0,0,Western Europe,1
1979,0,1,Western Europe,1
1983,0,1,Western Europe,1
1986,1,1,Western Europe,3
1989,0,0,Western Europe,3
1990,11,1,Western Europe,6
1991,1,1,Western Europe,6
1992,5,2,Western Europe,12
1994,1,0,Western Europe,1
1995,0,0,Western Europe,1
1996,0,0,Western Europe,1
1997,1,1,Western Europe,4
1999,4,0,Western Europe,2
2000,1,0,Western Europe,1
2005,0,0,Western Europe,3
2006,0,0,Western Europe,1
2008,0,0,Western Europe,1
2009,0,0,Western Europe,1
2010,2,1,Western Europe,3
2011,0,0,Western Europe,1
2012,0,0,Western Europe,2
2014,1,0,Western Europe,5
2015,4,4,Western Europe,36
2016,1,0,Western Europe,16
