,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142010,201501010002,2015,1,1,Sweden,Western Europe,Uppsala,Uppsala,59.857979,17.639822,"01/01/2015: An assailant threw an explosive device at a mosque in Uppsala city, Uppsala county, Sweden. No one was injured in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
149218,201506170111,2015,6,17,Sweden,Western Europe,Vasterbotten,Vilhelmina,64.624471,16.655497,"06/17/2015: Assailants set fire to the balcony of a refugee center in Vilhelmina, Vasterbotten county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
149275,201506190075,2015,6,19,Sweden,Western Europe,Unknown,Unknown,,,"06/19/2015: Assailants threw two incendiary devices at a refugee shelter in Filipstad town, Varmland county, Sweden. There were no reported casualties. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
150520,201507200089,2015,7,20,Sweden,Western Europe,Vastra Gotaland,Bengtsfors,59.028612,12.226942999999999,"07/20/2015: Assailants set a fire in the basement of a refugee center in Bengtsfors, Vastra Gotaland county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
151531,201508140144,2015,8,14,Sweden,Western Europe,Jonkoping,Varnamo,57.183012,14.046706,"08/14/2015: Assailants set an asylum center on fire in Varnamo, Joenkoeping, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
152594,201509090084,2015,9,9,Sweden,Western Europe,Skane,Hollviken,55.425,12.966667,"09/09/2015: Assailants set fire to a building on the grounds of Stora Hammer church that was planned to house refugees in Hollviken, Skane, Sweden. There were no casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
152822,201509150085,2015,9,15,Sweden,Western Europe,Norrbotten,Boden,65.825119,21.688703,"09/15/2015: Assailants set fire to an apartment being used to house orphaned refugee children in Boden, Norrbotten, Sweden. There were no casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
153298,201509290073,2015,9,29,Sweden,Western Europe,Vastra Gotaland,Stenungsund,58.059087,11.776581,"09/29/2015: Assailants ignited a fire at a warehouse that was being used as a refugee center in Tjornbron area, near Stenungsund, Vastra Gotaland, Sweden. There were no casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
153334,201509300084,2015,9,30,Sweden,Western Europe,Gavleborg,Ljusdal,61.829026,16.095998,"09/30/2015: An assailant set fire to the town hall in Ljusdal, Gavleborg county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
153851,201510130053,2015,10,13,Sweden,Western Europe,Skane,Arlov,55.634501,13.07441,"10/13/2015: Assailants set fire to a building to be used as a refugee shelter in Arlov city, Skane county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
153968,201510160055,2015,10,16,Sweden,Western Europe,Kronoberg,Ljungby,56.833877,13.941042000000001,"10/16/2015: Assailants set fire to a school to be used as a refugee shelter south of Ljungby, Kronoberg county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154016,201510170063,2015,10,17,Sweden,Western Europe,Halland,Onsala,57.41356700000001,12.020672,"10/17/2015: Assailants set fire to a school building to be used as a refugee shelter in Onsala locality, Halland county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154135,201510200028,2015,10,20,Sweden,Western Europe,Vastra Gotaland,Munkedal,58.47150500000001,11.680192,"10/20/2015: Assailants set fire to a refugee shelter in Munkedal town, Vastra Gotaland county, Sweden. An unknown number of people suffered from smoke inhalation in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154191,201510210069,2015,10,21,Sweden,Western Europe,Skane,Perstorp,56.137972,13.394986,"10/21/2015: Assailants set fire to planned refugee housing outside of Perstorp, Skane county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154192,201510210070,2015,10,21,Sweden,Western Europe,Stockholm,Upplands Vasby,59.51961,17.92834,"10/21/2015: Assailants attempted to set fire to planned refugee housing in Upplands Vasby, Stockholm county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154202,201510220013,2015,10,22,Sweden,Western Europe,Vastra Gotaland,Trollhattan,58.283489,12.285821,"10/22/2015: An assailant armed with a sword attacked students and teachers at the Kronan School in Trollhattan, Vastra Gotaland county, Sweden. At least four people, including two teachers, one student, and the assailant, were killed and another student was wounded in the incident. The assailant, identified as Anton Lundin-Pettersson, claimed responsibility for the attack and stated that he was opposed to the immigration policies in Sweden.",Educational Institution,Anti-Immigrant extremists,Melee,4,1
154254,201510230067,2015,10,23,Sweden,Western Europe,Sodermanland,Eskilstuna,59.371249,16.509805,"10/23/2015: Assailants set fire to an under construction refugee shelter in Eskilstuna, Sodermanland county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154255,201510230068,2015,10,23,Sweden,Western Europe,Vastra Gotaland,Munkedal,58.470909999999996,11.688867,"10/23/2015: Assailants set fire to planned refugee housing in Munkedal, Vastra Gotaland county, Sweden. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Other,Unknown,Incendiary,0,0
154287,201510240051,2015,10,24,Sweden,Western Europe,Vastra Gotaland,Gothenburg,57.70887,11.97456,"10/24/2015: Assailants set fire to the residence of Kristofer Lundberg in Gothenburg, Vastra Gotaland county, Sweden. Lundberg, the Socialist Justice Party (JS) president, was not harmed as there were no reported casualties in the incident. This was one of seven attacks on JS targets in Gothenburg on the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
154288,201510240052,2015,10,24,Sweden,Western Europe,Vastra Gotaland,Gothenburg,57.719551,11.971173,"10/24/2015: Assailants set fire to the residence of a Socialist Justice Party (JS) member in Gothenburg, Vastra Gotaland county, Sweden. There were no reported casualties in the incident. This was one of seven attacks on JS targets in Gothenburg on the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
154289,201510240053,2015,10,24,Sweden,Western Europe,Vastra Gotaland,Gothenburg,57.719551,11.971173,"10/24/2015: Assailants set fire to the residence of a Socialist Justice Party (JS) member in Gothenburg, Vastra Gotaland county, Sweden. There were no reported casualties in the incident. This was one of seven attacks on JS targets in Gothenburg on the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
154290,201510240054,2015,10,24,Sweden,Western Europe,Vastra Gotaland,Gothenburg,57.719551,11.971173,"10/24/2015: Assailants set fire to the residence of a Socialist Justice Party (JS) member in Gothenburg, Vastra Gotaland county, Sweden. There were no reported casualties in the incident. This was one of seven attacks on JS targets in Gothenburg on the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
