year,injuries,fatalities,region,count
1970,0,47,Western Europe,3
1971,3,0,Western Europe,1
1973,0,0,Western Europe,2
1974,0,0,Western Europe,3
1975,0,0,Western Europe,3
1976,0,0,Western Europe,4
1977,3,0,Western Europe,4
1978,0,0,Western Europe,3
1979,5,1,Western Europe,6
1980,3,0,Western Europe,7
1981,31,2,Western Europe,13
1982,0,0,Western Europe,6
1983,0,0,Western Europe,3
1984,0,0,Western Europe,1
1985,10,0,Western Europe,7
1987,0,1,Western Europe,1
1988,5,0,Western Europe,4
1990,0,1,Western Europe,1
1991,4,0,Western Europe,2
1992,6,6,Western Europe,6
1995,0,1,Western Europe,5
1996,3,1,Western Europe,4
1997,0,0,Western Europe,1
1998,0,0,Western Europe,1
1999,0,0,Western Europe,2
2000,0,0,Western Europe,4
2001,18,14,Western Europe,2
2003,0,0,Western Europe,1
2007,1,0,Western Europe,2
2011,2,0,Western Europe,3
2013,0,0,Western Europe,2
2016,0,0,Western Europe,1
