,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
12599,198101170002,1981,1,17,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Private Citizens & Property,Ninth of June Organization,Unknown,0,0
13393,198105040008,1981,5,4,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,,Business,Irish Republican Army (IRA),Incendiary,0,0
13588,198106030008,1981,6,3,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,,Airports & Aircraft,Unknown,Incendiary,0,0
13589,198106030009,1981,6,3,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,,Private Citizens & Property,Unknown,Incendiary,0,0
13619,198106090006,1981,6,9,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Government (Diplomatic),Armenian Secret Army for the Liberation of Armenia,Firearms,1,0
13836,198107190005,1981,7,19,Switzerland,Western Europe,Bern,Bern,46.947922,7.444608000000001,,Government (General),Armenian Secret Army for the Liberation of Armenia,Explosives/Bombs/Dynamite,0,0
13844,198107200004,1981,7,20,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,,Airports & Aircraft,Armenian Secret Army for the Liberation of Armenia,Explosives/Bombs/Dynamite,0,5
13854,198107210006,1981,7,21,Switzerland,Western Europe,Vaud,Lausanne,46.519962,6.633597,,Business,Armenian Secret Army for the Liberation of Armenia,Explosives/Bombs/Dynamite,0,20
13864,198107220009,1981,7,22,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Transportation,Armenian Secret Army for the Liberation of Armenia,Explosives/Bombs/Dynamite,1,4
14399,198110030003,1981,10,3,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Government (General),Armenian Secret Army for the Liberation of Armenia,Unknown,0,0
14400,198110030004,1981,10,3,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Government (General),Armenian Secret Army for the Liberation of Armenia,Unknown,0,1
14617,198110290003,1981,10,29,Switzerland,Western Europe,Geneva,Geneva,46.198392,6.142296,,Business,Ninth of June Organization,Explosives/Bombs/Dynamite,0,0
14891,198112070019,1981,12,7,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,,Airports & Aircraft,Shia Muslim extremists,Firearms,0,1
