year,injuries,fatalities,region,count
1974,9,1,Middle East & North Africa,4
1975,0,0,Middle East & North Africa,2
1976,35,5,Middle East & North Africa,2
1977,0,1,Middle East & North Africa,3
1978,0,0,Middle East & North Africa,1
1979,31,80,Middle East & North Africa,28
1980,27,89,Middle East & North Africa,33
1981,223,192,Middle East & North Africa,41
1982,23,98,Middle East & North Africa,20
1983,0,1,Middle East & North Africa,1
1984,1,0,Middle East & North Africa,1
1985,30,30,Middle East & North Africa,1
1986,8,8,Middle East & North Africa,4
1989,0,0,Middle East & North Africa,1
1996,50,15,Middle East & North Africa,2
1997,0,2,Middle East & North Africa,1
1998,0,0,Middle East & North Africa,1
2004,2,4,Middle East & North Africa,1
2006,0,5,Middle East & North Africa,1
2008,14,18,Middle East & North Africa,1
2011,215,163,Middle East & North Africa,49
2012,1927,877,Middle East & North Africa,180
2013,2237,1562,Middle East & North Africa,281
2014,1980,3301,Middle East & North Africa,328
2015,2978,3925,Middle East & North Africa,490
2016,2936,2755,Middle East & North Africa,472
