,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142048,201501010075,2015,1,1,Syria,Middle East & North Africa,Aleppo,Aleppo,36.19957,37.096368,"01/01/2015: Assailants fired mortars that landed and detonated in New Aleppo neighborhood, Aleppo city, Aleppo governorate, Syria. At least 13 people were killed and 18 others were injured in the blasts. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,13,18
142057,201501010096,2015,1,1,Syria,Middle East & North Africa,Aleppo,Unknown,36.2065,37.160027,"01/01/2015: Assailants abducted Ozgur Ors during an anti-smuggling operation in Aleppo governorate, Syria. Ors, a Turkish non-commissioned military officer, was released on January 5, 2015. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and Levant (ISIL).",Military,Islamic State of Iraq and the Levant (ISIL),Unknown,0,0
142111,201501030073,2015,1,3,Syria,Middle East & North Africa,Idlib,Kafr Uwayd,35.630833,36.459722,"01/03/2015: An explosives-laden vehicle detonated outside of a municipality building in Kafr Uwayd town, Idlib governorate, Syria. At least five Al-Nusrah Front members were killed and 10 others were injured in the blast. No group claimed responsibility for the attack.",Government (General),Unknown,Explosives/Bombs/Dynamite,5,10
142124,201501030086,2015,1,3,Syria,Middle East & North Africa,Rif Dimashq,Falitah,34.030278,36.583889,"01/03/2015: Assailants attacked Syrian Army soldiers and Hezbollah posts with mortars and firearms in Falita village, Rif Dimashq governorate, Syria. At least 24 people, including three Hezbollah fighters, five Syrian soldiers, and 16 assailants, were killed and an unknown number of others were injured in the assault. Al-Nusrah Front claimed responsibility for the incident.",Military,Al-Nusrah Front,Explosives/Bombs/Dynamite,24,0
142244,201501060027,2015,1,6,Syria,Middle East & North Africa,Aleppo,Kobani,36.88774,38.350817,"01/06/2015: Assailants attacked areas in Kobani city, Aleppo governorate, Syria. At least nine people, including seven People's Protection Units (YPG) members, were killed in the incident. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Unknown,33,0
142262,201501070006,2015,1,7,Syria,Middle East & North Africa,Daraa,Nawah,32.888889,36.043056,"01/07/2015: An explosive device planted at the Shrine of Imam Nawawi detonated in Nawa town, Daraa governorate, Syria. There were no reported casualties but the shrine was destroyed in the blast. No group claimed responsibility; however, sources attributed the attack to Al-Nusrah Front.",Religious Figures/Institutions,Al-Nusrah Front,Explosives/Bombs/Dynamite,0,0
142322,201501080010,2015,1,8,Syria,Middle East & North Africa,Aleppo,Nubl,36.375556,36.994167,"01/08/2015: Assailants fired mortars that landed near Syrian Armed Forces (SAF) soldiers and detonated in Nubl town, Aleppo governorate, Syria. This was one of two attacks on neighboring towns in Aleppo on the same day. At least 25 people, including 11 soldiers and 14 assailants, were killed and an unknown number of others were injured in the blasts. Al-Nusrah Front claimed responsibility for the incidents.",Military,Al-Nusrah Front,Explosives/Bombs/Dynamite,13,0
142323,201501080011,2015,1,8,Syria,Middle East & North Africa,Aleppo,Zahra,36.358493,37.010577000000005,"01/08/2015: A suicide bomber detonated and assailants fired mortars that landed near Syrian Armed Forces (SAF) soldiers and detonated in Zahra town, Aleppo governorate, Syria. This was one of two attacks on neighboring towns in Aleppo on the same day. At least 25 people, including 11 soldiers and 14 assailants, were killed and an unknown number of others were injured in the blasts. Al-Nusrah Front claimed responsibility for the incidents.",Military,Al-Nusrah Front,Explosives/Bombs/Dynamite,12,0
142424,201501100020,2015,1,10,Syria,Middle East & North Africa,Aleppo,Maskanah,35.963158,38.035565999999996,"01/10/2015: An explosives-laden vehicle detonated near an Al-Nusrah Front checkpoint in Maskanah town, Aleppo governorate, Syria. At least 15 people, including two Al-Nusrah members and four Syrian Civil Defense volunteers, were killed and an unknown number of others were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Terrorists/Non-State Militia,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,15,0
142425,201501100021,2015,1,10,Syria,Middle East & North Africa,Aleppo,Qatmah,36.590788,36.960932,"01/10/2015: An explosives-laden vehicle detonated near a People's Protection Units (YPG) checkpoint in Qatmah town, Aleppo governorate, Syria. At least five people, including three YPG members and 2 civilians, were killed and an unknown number of others were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Terrorists/Non-State Militia,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,5,0
142620,201501130059,2015,1,13,Syria,Middle East & North Africa,Aleppo,Kobani,36.88774,38.350817,"01/13/2015: Assailants attacked People's Protection Units (YPG) in Kobani city, Aleppo governorate, Syria. At least 8 assailants were killed in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).",Terrorists/Non-State Militia,Islamic State of Iraq and the Levant (ISIL),Unknown,8,0
142644,201501140021,2015,1,15,Syria,Middle East & North Africa,Deir ez-Zor,Mayadin,35.016557,40.45,"01/15/2015: Assailants executed a person accused of detonating an explosives-laden vehicle in Mayadin town, Deir ez-Zor governorate, Syria. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Melee,1,0
