,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
51106,199204280006,1992,4,28,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Business,Unknown,Explosives/Bombs/Dynamite,1,0
51107,199204280007,1992,4,28,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
51108,199204280008,1992,4,28,Taiwan,East Asia,,Kao-hsiung,22.617777800000002,120.30138889999999,,Telecommunication,Unknown,Explosives/Bombs/Dynamite,0,0
51123,199204290011,1992,4,29,Taiwan,East Asia,,Yung-ho,25.0,121.49611110000001,,Business,Unknown,Explosives/Bombs/Dynamite,0,4
51782,199206170010,1992,6,17,Taiwan,East Asia,,Kao-hsiung,22.617777800000002,120.30138889999999,,Police,Gang,Firearms,0,9
52452,199208110004,1992,8,11,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,3
53135,199209300005,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53136,199209300006,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53137,199209300007,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53138,199209300008,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53139,199209300009,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53140,199209300010,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53141,199209300011,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53142,199209300012,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53143,199209300013,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53144,199209300014,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53145,199209300015,1992,9,30,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Transportation,Unknown,Incendiary,0,0
53454,199210200007,1992,10,20,Taiwan,East Asia,,Kao-hsiung,22.617777800000002,120.30138889999999,,Business,Unknown,Incendiary,15,13
54467,199212160002,1992,12,16,Taiwan,East Asia,,Taipei,25.091075,121.55983400000001,,Government (General),Democratic Progressive Party,Unknown,0,0
54520,199212180001,1992,12,18,Taiwan,East Asia,,Yun-lin,23.709166699999997,120.54222220000001,,Government (General),Unknown,Firearms,0,1
