,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64242,199701020001,1997,1,2,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
64243,199701020002,1997,1,2,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,2,0
64260,199701040007,1997,1,4,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
64261,199701040008,1997,1,4,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
64262,199701040009,1997,1,4,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Explosives/Bombs/Dynamite,1,3
64377,199701180006,1997,1,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
64421,199701230001,1997,1,23,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,NGO,Unknown,Firearms,3,0
64459,199701290003,1997,1,29,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,1
64569,199702040006,1997,2,4,Tajikistan,Central Asia,,Obigarm,38.71731,69.70885,,Government (Diplomatic),Unknown,Firearms,0,0
64570,199702040007,1997,2,4,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Journalists & Media,Unknown,Unknown,0,0
64578,199702060004,1997,2,6,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Government (Diplomatic),Unknown,Unknown,0,0
64665,199702180001,1997,2,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Police,Unknown,Firearms,1,0
64666,199702180002,1997,2,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
64667,199702180003,1997,2,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Police,Unknown,Firearms,2,0
64818,199703140004,1997,3,14,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
65226,199704300009,1997,4,30,Tajikistan,Central Asia,,Khujand,40.283333,69.633333,,Government (General),Unknown,Explosives/Bombs/Dynamite,2,2
65302,199705130004,1997,5,13,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Military,Unknown,Firearms,1,0
66066,199708010002,1997,8,1,Tajikistan,Central Asia,,Daryeabad,38.514262,68.829861,,Private Citizens & Property,Unknown,Firearms,0,0
66090,199708040004,1997,8,4,Tajikistan,Central Asia,,Tursunzoda,38.50845,68.225098,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,2
66303,199708230005,1997,8,23,Tajikistan,Central Asia,,Childara,38.78314,70.30417,,Government (Diplomatic),Unknown,Firearms,0,0
66386,199708290002,1997,8,29,Tajikistan,Central Asia,,Daryeabad,38.514262,68.829861,,Private Citizens & Property,Rizvon Sadirov Group,Firearms,0,0
66444,199709050002,1997,9,5,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66495,199709100001,1997,9,10,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
66496,199709100002,1997,9,10,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
66497,199709100003,1997,9,10,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
66498,199709100004,1997,9,10,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
66522,199709120003,1997,9,12,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,16
66578,199709190003,1997,9,19,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Business,Unknown,Explosives/Bombs/Dynamite,0,2
66637,199709250007,1997,9,25,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,3
66640,199709260001,1997,9,26,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Government (General),Unknown,Firearms,1,1
66684,199710020006,1997,10,2,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Business,Unknown,Firearms,0,0
66717,199710060002,1997,10,6,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Business,Unknown,Explosives/Bombs/Dynamite,0,4
66789,199710160001,1997,10,16,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Police,Unknown,Firearms,18,0
66807,199710180007,1997,10,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66888,199710240003,1997,10,24,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,1
66911,199710270004,1997,10,27,Tajikistan,Central Asia,,Uzbek border,,,,Military,Unknown,Firearms,2,9
67014,199711110004,1997,11,11,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
67075,199711180002,1997,11,18,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Government (Diplomatic),Rizvon Sadirov Group,Unknown,1,0
67248,199712090008,1997,12,9,Tajikistan,Central Asia,,Moskovskiy,37.624484,69.645288,,Police,Unknown,Firearms,1,0
67384,199712270004,1997,12,27,Tajikistan,Central Asia,,Dushanbe,38.536667,68.78,,Police,Unknown,Firearms,1,0
