year,injuries,fatalities,region,count
1975,0,0,Sub-Saharan Africa,1
1979,0,1,Sub-Saharan Africa,1
1982,1,0,Sub-Saharan Africa,1
1994,0,1,Sub-Saharan Africa,1
1995,0,0,Sub-Saharan Africa,1
1997,0,1,Sub-Saharan Africa,1
1998,85,11,Sub-Saharan Africa,1
2000,0,0,Sub-Saharan Africa,2
2001,0,2,Sub-Saharan Africa,4
2002,0,24,Sub-Saharan Africa,2
2004,0,0,Sub-Saharan Africa,1
2008,2,0,Sub-Saharan Africa,1
2010,0,0,Sub-Saharan Africa,1
2013,83,8,Sub-Saharan Africa,7
2014,43,4,Sub-Saharan Africa,11
2015,14,10,Sub-Saharan Africa,14
2016,2,3,Sub-Saharan Africa,3
