,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
144314,201502150118,2015,2,15,Tanzania,Sub-Saharan Africa,Tanga,Amboni,-5.055813,39.054142999999996,"02/15/2015: Assailants attacked police officers in Amboni area, Tanga region, Tanzania. One police officer was killed and six were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Police,Al-Shabaab,Unknown,1,6
145028,201503050073,2015,3,5,Tanzania,Sub-Saharan Africa,Kagera,Kanazi,-1.475856,31.74281,"03/00/2015: Sometime between March 1, 2015 and March 9, 2015, assailants set fire to a church in Kanazi, Kagera region, Tanzania. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
145245,201503100094,2015,3,10,Tanzania,Sub-Saharan Africa,Kagera,Kagondo,-1.551364,31.703870000000002,"03/10/2015: Assailants set fire to a church in Kagondo, Kagera region, Tanzania. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
145323,201503120084,2015,3,12,Tanzania,Sub-Saharan Africa,Kagera,Kyebitembe,-2.191728,31.476542,"03/12/2015: Assailants set fire to a Pentecostal church in Kyebitembe, Kagera region, Tanzania. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
147256,201505010123,2015,5,1,Tanzania,Sub-Saharan Africa,Morogoro,Msolwa Ujamma,-7.703889,36.956509000000004,"05/01/2015: Two assailants threw a grenade at a vehicle that belonged to the Kilombero district council in Msolwa Ujamma village, Kitadu ward, Kilombero district, Morogoro region, Tanzania. At least four people were wounded in the incident. No group claimed responsibility for the attack.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,4
148366,201505280075,2015,5,28,Tanzania,Sub-Saharan Africa,Zanzibar West,Zanzibar,-6.161815,39.193698,"05/28/2015: An explosive device detonated near a mosque in Daranjani neighborhood, Zanzibar city, Zanzibar West region, Tanzania. One person was killed and an unknown number were wounded in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
150205,201507120045,2015,7,12,Tanzania,Sub-Saharan Africa,Dar es Salaam,Dar es Salaam,-6.857631,39.205563,"07/12/2015: Assailants opened fire in a police station in Ukonga area, Dar es Salaam, Tanzania. Four police officers and three civilians were killed and one police officer and three civilians were injured in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,7,4
153125,201509230057,2015,9,23,Tanzania,Sub-Saharan Africa,Kagera,Kashfa,-1.332759,31.806125,"09/23/2015: Assailants set fire to the Living Water International Church in Kashfa village, Kagera region, Tanzania. There were no reported casualties in the attack. This was one of three incidents targeting churches in Kashfa on the same day. No group claimed responsibility for the attacks.",Religious Figures/Institutions,Unknown,Incendiary,0,0
153126,201509230058,2015,9,23,Tanzania,Sub-Saharan Africa,Kagera,Kashfa,-1.332759,31.806125,"09/23/2015: Assailants set fire to the Evangelical Assemblies of God (EAG) Church in Kashfa village, Kagera region, Tanzania. There were no reported casualties in the attack. This was one of three incidents targeting churches in Kashfa on the same day. No group claimed responsibility for the attacks.",Religious Figures/Institutions,Unknown,Incendiary,0,0
153127,201509230059,2015,9,23,Tanzania,Sub-Saharan Africa,Kagera,Kashfa,-1.332759,31.806125,"09/23/2015: Assailants set fire to the Pentecostal Assemblies of God (PAG) Church in Kashfa village, Kagera region, Tanzania. There were no reported casualties in the attack. This was one of three incidents targeting churches in Kashfa on the same day. No group claimed responsibility for the attacks.",Religious Figures/Institutions,Unknown,Incendiary,0,0
154588,201510310046,2015,10,31,Tanzania,Sub-Saharan Africa,Zanzibar West,Zanzibar,-6.161824,39.193782,"10/31/2015: Two explosive devices detonated near a roundabout in Darajani neighborhood, Zanzibar, Tanzania. There were no reported casualties. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
154631,201511010032,2015,11,1,Tanzania,Sub-Saharan Africa,Zanzibar West,Zanzibar,-6.166272,39.200143,"11/01/2015: An explosive device was discovered and defused near the offices of the Civic United party in Zanzibar city, Zanzibar West region, Tanzania. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
155143,201511140053,2015,11,14,Tanzania,Sub-Saharan Africa,Mwanza,Geita district,-2.885038,32.231353999999996,"11/14/2015: Assailants attacked Alphonce Mawazo in Geita district, Mwanza region, Tanzania. Mawazo, a regional chair of the Party for Democracy and Progress, was killed in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Melee,1,0
155866,201512030049,2015,12,3,Tanzania,Sub-Saharan Africa,Zanzibar West,Zanzibar,-6.165916999999999,39.202641,"12/03/2015: Assailants stormed Hits FM radio station and set it on fire in Zanzibar city, Zanzibar region, Tanzania. No one was injured, but the station was damaged in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Incendiary,0,0
