,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
113247,201301040025,2013,1,4,Thailand,Southeast Asia,Pattani,Muang Pattani district,6.702667999999999,101.43230600000001,"01/04/2013: Assailants opened fire on a military vehicle in Muang district, Pattani province, Thailand. Soldiers returned fire, causing the assailants to flee. One soldier was killed and another four were injured in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,1,4
113283,201301050042,2013,1,5,Thailand,Southeast Asia,Narathiwat,Sako tambon,6.205811,101.55891,"01/05/2013: An assailant on a motorcycle opened fire on a defense volunteers' base in Sak tambon, Narathiwat province, Thailand. A defence volunteer's wife was killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,1,0
113384,201301090010,2013,1,9,Thailand,Southeast Asia,Narathiwat,Khok Khian,6.493658,101.763777,"01/09/2013: At least two assailants opened fire on a karaoke bar in Muang district, Narathiwat province, Thailand. Three people were injured in the attack. This was one of two similar attacks at the same location within a few minutes; the shooting was designed to draw a crowd, which was followed by a bombing. No group claimed responsibility for the incidents; however, officials suspect that separatists were involved.",Business,Separatists,Firearms,0,3
113385,201301090011,2013,1,9,Thailand,Southeast Asia,Narathiwat,Khok Khian,6.493658,101.763777,"01/09/2013: An explosive device attached to a motorcycle detonated near a karaoke bar in Muang district, Narathiwat province, Thailand. One person was injured and the karaoke bar and vehicles were damaged in blast. This was one of two similar attacks at the same location within a few minutes; an earlier shooting was designed to draw a crowd, followed by the bombing. No group claimed responsibility for the incidents; however, officials suspect that separatists were involved.",Police,Separatists,Explosives/Bombs/Dynamite,0,1
113432,201301110016,2013,1,11,Thailand,Southeast Asia,Pattani,tambon Prachan,6.793731,101.280722,"01/11/2013: An explosive device detonated in Prachan town, Pattani province, Thailand. The blast struck a military vehicle providing protection for teachers; two soldiers were killed and two more were injured in the blast. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,2,2
113519,201301140028,2013,1,14,Thailand,Southeast Asia,Yala,Krong Pinang district,6.426146,101.280722,"01/14/2013: Fourteen closed-circuit television (CCTV) cameras were burned, smashed or stolen in Krong Pinang district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113520,201301140029,2013,1,14,Thailand,Southeast Asia,Yala,Bannang Sata district,6.265556,101.263056,"01/14/2013: Twenty-one closed-circuit television (CCTV) cameras were burned, smashed or stolen in Bannang Sata district, Yala province, Thailand. The assailants also set fire to a telephone pole and a telephone booth. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113521,201301140030,2013,1,14,Thailand,Southeast Asia,Yala,Raman district,6.491827,101.3885,"01/14/2013: Twenty closed-circuit television (CCTV) cameras were burned, smashed or stolen in Raman district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113522,201301140031,2013,1,14,Thailand,Southeast Asia,Yala,Muang Yala district,6.541138,101.280396,"01/14/2013: Nine closed-circuit television (CCTV) cameras were burned, smashed or stolen in Muang district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113523,201301140032,2013,1,14,Thailand,Southeast Asia,Yala,Yaha district,6.486667,101.150411,"01/14/2013: Seven closed-circuit television (CCTV) cameras were burned, smashed or stolen in Yaha district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113524,201301140033,2013,1,14,Thailand,Southeast Asia,Yala,Kabang district,6.437467,101.003311,"01/14/2013: Seven closed-circuit television (CCTV) cameras were burned, smashed or stolen in Kabang district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113525,201301140034,2013,1,14,Thailand,Southeast Asia,Yala,Than To district,6.166837,101.190053,"01/14/2013: A closed-circuit television (CCTV) camera was burned, smashed or stolen in Than To district, Yala province, Thailand. This was one of seven similar incidents that occurred on the same morning in the province; the attacks resulted in 10 million baht worth of damage. No group claimed responsibility for the incidents.",Government (General),Unknown,Incendiary,0,0
113607,201301170020,2013,1,17,Thailand,Southeast Asia,Narathiwat,Rueso,6.352958,101.51344,"01/17/2013: Two assailants on a motorcycle opened fire on a civilian vehicle transporting school children in Rueso district, Narathiwat province, Thailand. The driver of the vehicle was killed in attack. No group claimed responsibility for the incident.",Educational Institution,Unknown,Firearms,1,0
113615,201301170036,2013,1,17,Thailand,Southeast Asia,Yala,Uber,6.2117309999999994,101.286392,"01/17/2013: Assailants opened fire on a former navy member in Uber village, Bannang Sata district, Yala province, Thailand. The former sailor was killed in the attack. This was one of two incidents in this location on the same day. The shooting was designed to draw security forces to the village. No group claimed responsibility for the incident.",Military,Unknown,Firearms,1,0
113616,201301170037,2013,1,17,Thailand,Southeast Asia,Yala,Uber,6.2117309999999994,101.286392,"01/17/2013: A roadside bomb detonated targeting a convoy of police officers and soldiers in Uber village, Bannang Sata district, Yala province, Thailand. The explosion was followed by an exchange of gunfire between the perpetrators and security forces. No one was hurt in the attack; however, an electricity pole was damaged. This was the second of two attacks in this location on this day. No group claimed responsibility for this incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
113714,201301220021,2013,1,22,Thailand,Southeast Asia,Pattani,Khok Pho district,6.686478999999999,101.139088,"01/22/2013: A remote-controlled roadside bomb hidden in an iron box exploded on an Army ranger patrol providing protection for teachers in Khok Pho district, Pattani province, Thailand. Three rangers were injured in the attack. No group claimed responsibility for the incident; however, authorities suspect Runda Kumpulan Kecil (RKK) of the attack.",Military,Runda Kumpulan Kecil (RKK),Explosives/Bombs/Dynamite,0,3
113734,201301230011,2013,1,23,Thailand,Southeast Asia,Narathiwat,Bacho district,6.548954,101.638533,"01/23/2013: Four perpetrators entered a school and shot and killed teacher Cholathee Charoenchol during lunch in Ban Tanyong, Bacho district, Thailand. The perpetrators then stole the teacher's car and abandoned it near a jungle. Sources speculate the car was going to be used for a future car bomb. No group claimed responsibility for the incident.",Educational Institution,Unknown,Firearms,1,0
113735,201301230012,2013,1,23,Thailand,Southeast Asia,Narathiwat,Rueso Ok,6.394265,101.536173,"01/23/2013: An unknown gunman hiding in a rubber plantation opened fire on soldiers leaving a tea shop in Rueso Ok tambon, Rueso district, Narathiwat province, Thailand. The last soldier to board his truck was hit by gunfire, injuring him. The soldiers were tasked with escorting teachers to work.",Military,Unknown,Firearms,0,1
113736,201301230013,2013,1,23,Thailand,Southeast Asia,Narathiwat,Rueso,6.352958,101.51344,"01/23/2013: Two motorcycle riders opened fire on a truck transporting seven kindergartners to school in Rueso district, Narathiwat province, Thailand. No one was injured in the attack. No group claimed responsibility for the incident.",Educational Institution,Unknown,Firearms,0,0
113933,201301300003,2013,1,30,Thailand,Southeast Asia,Narathiwat,Manang Tayo,6.347289,101.763777,"01/30/2013: A remote-controlled explosive device detonated on a pickup truck of marines in Manang Tayo tambon, Narathiwat province, Thailand. The marines were escorting teachers to school. One soldier died and two were injured in the attack. This was one of three such attacks in Narathiwat on this day, none of which were claimed.",Military,Unknown,Explosives/Bombs/Dynamite,1,2
113934,201301300004,2013,1,30,Thailand,Southeast Asia,Narathiwat,Cho-airong district,6.210408,101.820757,"01/30/2013: An explosive device targeted an army ranger protecting a school in Cho Ai Rong district, Narathiwat province, Thailand. The ranger was injured. This was one of three such attacks in Narathiwat on this day, none of which were claimed.",Military,Unknown,Explosives/Bombs/Dynamite,0,1
113935,201301300005,2013,1,30,Thailand,Southeast Asia,Narathiwat,Chanae district,6.057087999999999,101.695444,"01/30/2013: A remote-controlled bomb exploded on an Army Rangers patrol in Chanae district, Narathiwat province, Thailand. The soldiers were providing protection for commuting teachers. There were no casualties reported. This was one of three such attacks in Narathiwat on this day, none of which were claimed.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
113989,201302010007,2013,2,1,Thailand,Southeast Asia,Pattani,Baloey,6.779457000000001,101.439593,"02/01/2013: Assailants opened fire on a pick-up truck in Baloey area, Yaring district, Pattani province, Thailand. The attack targeted farmers participating in a rice growing project sponsored by the Southern Border Provinces Administrative Centre. Two farmers died and ten other people were injured in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,2,10
114044,201302030023,2013,2,3,Thailand,Southeast Asia,Yala,Raman district,6.491822,101.3885,"02/03/2013: Gunmen shot a member of the Tambon Administration Organization (TAO) in Raman district, Yala province, Thailand. The TAO member was injured in the incident. No group claimed responsibility for the attack.",Government (General),Unknown,Firearms,0,1
