,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49614,199201050008,1992,1,5,Togo,Sub-Saharan Africa,Centrale,Sokode,8.97792,1.145342,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
49615,199201050009,1992,1,5,Togo,Sub-Saharan Africa,Centrale,Sokode,8.97792,1.145342,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
49616,199201050010,1992,1,5,Togo,Sub-Saharan Africa,Centrale,Sokode,8.97792,1.145342,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
49624,199201060007,1992,1,6,Togo,Sub-Saharan Africa,Plateaux,Atakpame,7.528542999999999,1.1308280000000002,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
51194,199205050003,1992,5,5,Togo,Sub-Saharan Africa,Unknown,Taco,,,,Government (General),Unknown,Firearms,4,1
51304,199205090021,1992,5,9,Togo,Sub-Saharan Africa,Plateaux,Atakpame,7.528542999999999,1.1308280000000002,,Private Citizens & Property,Unknown,Unknown,1,0
51335,199205110011,1992,5,11,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
51336,199205110012,1992,5,11,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
51749,199206140010,1992,6,14,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (General),Unknown,Unknown,0,1
52035,199207100005,1992,7,10,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
52212,199207240005,1992,7,24,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (General),Unknown,Firearms,1,0
52219,199207240012,1992,7,24,Togo,Sub-Saharan Africa,Plateaux,Atakpame,7.528542999999999,1.1308280000000002,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
52235,199207250005,1992,7,25,Togo,Sub-Saharan Africa,Plateaux,Atakpame,7.528542999999999,1.1308280000000002,,NGO,Unknown,Explosives/Bombs/Dynamite,0,0
52440,199208090019,1992,8,9,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (General),Togolese Peoples Rally,Firearms,0,0
52510,199208170003,1992,8,17,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (General),Unknown,Firearms,0,1
52787,199209050036,1992,9,5,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
52862,199209100007,1992,9,10,Togo,Sub-Saharan Africa,Kara,Bafilo,9.356803,1.2481950000000002,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
52863,199209100008,1992,9,10,Togo,Sub-Saharan Africa,Kara,Bafilo,9.356803,1.2481950000000002,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
52877,199209100023,1992,9,10,Togo,Sub-Saharan Africa,Kara,Bafilo,9.356803,1.2481950000000002,,Government (General),Unknown,Firearms,0,0
52979,199209180014,1992,9,18,Togo,Sub-Saharan Africa,Kara,Bassar,9.261006,0.777111,,Government (General),Unknown,Explosives/Bombs/Dynamite,1,0
52980,199209180015,1992,9,18,Togo,Sub-Saharan Africa,Kara,Bassar,9.261006,0.777111,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
53062,199209230013,1992,9,23,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Business,Unknown,Explosives/Bombs/Dynamite,0,12
53063,199209230014,1992,9,23,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Business,Unknown,Explosives/Bombs/Dynamite,1,1
53515,199210230010,1992,10,23,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
54149,199211260002,1992,11,26,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Business,Unknown,Firearms,3,3
54261,199212040002,1992,12,4,Togo,Sub-Saharan Africa,Maritime,Lome,6.172553,1.231572,,Police,Unknown,Firearms,0,2
54290,199212060007,1992,12,6,Togo,Sub-Saharan Africa,Plateaux,Kpalime,6.909261,0.63,,Police,Unknown,Melee,1,1
