year,injuries,fatalities,region,count
1976,3,0,Central America & Caribbean,1
1979,0,0,Central America & Caribbean,1
1981,0,0,Central America & Caribbean,1
1983,14,0,Central America & Caribbean,1
1989,0,0,Central America & Caribbean,1
1991,1,0,Central America & Caribbean,1
1992,0,0,Central America & Caribbean,1
1994,0,2,Central America & Caribbean,1
1995,0,4,Central America & Caribbean,4
1996,3,0,Central America & Caribbean,3
2005,14,0,Central America & Caribbean,2
2010,0,0,Central America & Caribbean,1
2013,0,0,Central America & Caribbean,3
2015,0,0,Central America & Caribbean,1
