year,injuries,fatalities,region,count
1979,0,0,Middle East & North Africa,1
1980,100,41,Middle East & North Africa,1
1986,0,0,Middle East & North Africa,2
1987,13,0,Middle East & North Africa,4
1991,0,4,Middle East & North Africa,2
1994,0,1,Middle East & North Africa,1
1995,0,7,Middle East & North Africa,1
2000,0,5,Middle East & North Africa,1
2001,0,3,Middle East & North Africa,1
2002,50,31,Middle East & North Africa,2
2007,0,14,Middle East & North Africa,1
2008,0,0,Middle East & North Africa,2
2011,0,4,Middle East & North Africa,3
2012,0,0,Middle East & North Africa,1
2013,28,25,Middle East & North Africa,29
2014,64,43,Middle East & North Africa,23
2015,121,103,Middle East & North Africa,17
2016,26,71,Middle East & North Africa,12
