,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
113472,201301120028,2013,1,12,Tunisia,Middle East & North Africa,Tunis,Sidi Bou Said,36.869832,10.341369,"01/12/2013: Assailants set fire to the mausoleum in Sidi Bou Said town, Tunis governorate, Tunisia. There were no reported casualties resulting from the fire; however, the mausoleum was damaged. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
113721,201301220036,2013,1,22,Tunisia,Middle East & North Africa,Sousse,Akouda,35.871389,10.569722,"01/22/2013: Assailants hurled Molotov cocktails at the shrine of Sidi Ahmed Ouerfelli in Akouda town, Sousse governorate, Tunisia. No one was hurt in the attack, and it is not known how badly the shrine was damaged. No group claimed responsibility; however, officials attributed the attack to Muslim fundamentalists.",Religious Figures/Institutions,Muslim extremists,Incendiary,0,0
114094,201302060011,2013,2,6,Tunisia,Middle East & North Africa,Tunis,Tunis,36.818767,10.165588,"02/06/2013: Assailants opened fire on Chokri Belaid outside of his private residence in Tunis city, Tunis, Tunisia. Belaid, the General Secretary for the Democratic Patriots party and the coordinator of the Popular Front Coalition, was killed in the assault. No group claimed responsibility; however, officials attributed the attack to Ansar al-Sharia.",Private Citizens & Property,Ansar al-Sharia (Tunisia),Firearms,1,0
115471,201303310040,2013,3,31,Tunisia,Middle East & North Africa,Sousse,Hergla,36.033333,10.5,"03/31/2013: Perpetrators set fire to a bar and sports facility in Hergla, Sousse governorate, Tunisia. No damage information is known. No group claimed responsibility for this attack.",Tourists,Unknown,Incendiary,0,0
116421,201304290034,2013,4,29,Tunisia,Middle East & North Africa,Kasserine,Boulaba,35.239591,8.750597,"04/29/2013: An explosive device detonated near Boulaba, Kasserine, Tunisia. The blast targeted a group of soldiers, injuring one. This was one of two similar attacks in this area on this day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Islamic Maghreb (AQIM).",Military,Muslim extremists,Explosives/Bombs/Dynamite,0,1
116422,201304290035,2013,4,29,Tunisia,Middle East & North Africa,Kasserine,Boulaba,35.239591,8.750597,"04/29/2013: An explosive device detonated near Boulaba, Kasserine, Tunisia. The blast targeted a group of soldiers, injuring one. This was one of two similar attacks in this area on this day. No group claimed responsibility for the incident; however, sources suggest the involvement of Al-Qaida in the Islamic Maghreb (AQIM).",Military,Muslim extremists,Explosives/Bombs/Dynamite,0,1
116452,201304300023,2013,4,30,Tunisia,Middle East & North Africa,Kasserine,Boulaba,35.239591,8.750597,"04/30/2013: A land mine detonated in Boulaba, Kasserine governorate, Tunisia. The blast targeted a group of soldiers, wounding six. No group claimed responsibility for the incident; however, sources speculated that Al-Qaida in the Islamic Maghreb (AQIM) was involved.",Military,Unknown,Explosives/Bombs/Dynamite,0,6
116591,201305040037,2013,5,4,Tunisia,Middle East & North Africa,Kef,El Kef,36.177653,8.713261,"05/04/2013: Assailants opened fire on the National Guard military building in El Kef city, Kef governorate, Tunisia. No casualties or damages were reported in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,0,0
117568,201306010002,2013,6,1,Tunisia,Middle East & North Africa,Kasserine,Mount Chaambi district,35.207531,8.682468,"06/01/2013: A roadside bomb exploded under a military vehicle in Mount Chaambi, Kasserine governorate, Tunisia. Three soldiers were wounded in the blast. No group claimed responsibility for the attack.",Military,Unknown,Explosives/Bombs/Dynamite,0,3
117702,201306060002,2013,6,6,Tunisia,Middle East & North Africa,Kasserine,Unknown,35.206666999999996,8.682777999999999,"06/06/2013: A roadside mine exploded next to a military vehicle in Kasserine governorate, Tunisia. Two soldiers were killed and two soldiers were wounded in the blast. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,2,2
