year,injuries,fatalities,region,count
1970,1,0,Middle East & North Africa,12
1971,0,1,Middle East & North Africa,35
1972,5,3,Middle East & North Africa,9
1974,1,0,Middle East & North Africa,1
1975,0,0,Middle East & North Africa,10
1976,23,7,Middle East & North Africa,35
1977,89,29,Middle East & North Africa,189
1978,111,40,Middle East & North Africa,52
1979,118,123,Middle East & North Africa,141
1980,61,111,Middle East & North Africa,95
1981,11,11,Middle East & North Africa,8
1982,71,9,Middle East & North Africa,5
1983,24,2,Middle East & North Africa,5
1984,19,27,Middle East & North Africa,19
1985,0,1,Middle East & North Africa,2
1986,7,26,Middle East & North Africa,7
1987,80,187,Middle East & North Africa,43
1988,21,102,Middle East & North Africa,42
1989,53,232,Middle East & North Africa,114
1990,219,512,Middle East & North Africa,195
1991,300,308,Middle East & North Africa,293
1992,537,1233,Middle East & North Africa,514
1994,452,982,Middle East & North Africa,300
1995,216,189,Middle East & North Africa,133
1996,92,117,Middle East & North Africa,54
1997,108,60,Middle East & North Africa,44
1998,108,37,Middle East & North Africa,23
1999,271,127,Middle East & North Africa,109
2000,27,12,Middle East & North Africa,35
2001,40,17,Middle East & North Africa,19
2002,0,0,Middle East & North Africa,5
2003,778,67,Middle East & North Africa,19
2004,92,25,Middle East & North Africa,27
2005,140,35,Middle East & North Africa,41
2006,316,45,Middle East & North Africa,40
2007,122,25,Middle East & North Africa,29
2008,274,42,Middle East & North Africa,32
2009,48,18,Middle East & North Africa,13
2010,7,13,Middle East & North Africa,20
2011,110,25,Middle East & North Africa,51
2012,464,248,Middle East & North Africa,189
2013,192,83,Middle East & North Africa,42
2014,89,39,Middle East & North Africa,94
2015,1103,490,Middle East & North Africa,421
2016,2772,1004,Middle East & North Africa,540
