,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
156866,201601010011,2016,1,1,Turkey,Middle East & North Africa,Sirnak,Cizre district,37.332346,42.185474,"01/01/2016: Assailants fired a rocket at soldiers in Cizre district, Sirnak province, Turkey. One soldier was killed and four soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Military,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,1,4
156867,201601010012,2016,1,1,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.064584,40.381766,"01/01/2016: An explosive device detonated in Sur district, Diyarbakir province, Turkey. At least one police officer was killed and one officer and one soldier were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Police,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,1,2
156940,201601030032,2016,1,3,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.059761,40.388604,"01/03/2016: An explosive device detonated targeting military personnel in Sur district, Diyarbakir, Turkey. One soldier, identified as Kemal Karabacakli, was killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Military,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,1,0
156949,201601030042,2016,1,3,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.064584,40.381766,"01/03/2016: Assailants launched a mortar shell at a residential apartment in Sur district, Diyarbakir province, Turkey. One civilian was killed in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
156955,201601030050,2016,1,3,Turkey,Middle East & North Africa,Sirnak,Silopi district,37.2487,42.4713,"01/03/2016: Assailants opened fire on civilians attempting to leave their residence in Silopi district, Sirnak, Turkey. At least one person was killed and two others were injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Private Citizens & Property,Kurdistan Workers' Party (PKK),Firearms,1,2
156979,201601040037,2016,1,4,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.064584,40.381766,"01/04/2016: A sniper opened fire on a police officer in Sur district, Diyarbakir province, Turkey. The officer, identified as Musa Yuce, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Police,Kurdistan Workers' Party (PKK),Firearms,1,0
157026,201601050051,2016,1,5,Turkey,Middle East & North Africa,Sirnak,Sirnak,37.518974,42.453714,"01/05/2016: Assailants attacked Ramazan Emet in Sirnak city, Sirnak province, Turkey. Emet, a gendarmerie member, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Military,Kurdistan Workers' Party (PKK),Firearms,1,0
157034,201601050068,2016,1,5,Turkey,Middle East & North Africa,Sirnak,Silopi district,37.251526,42.47857,"01/05/2016: Assailants executed three civilians at Hazreti Huseyin Mosque in Silopi district, Sirnak province, Turkey. No group claimed responsibility for the incident; however, sources attributed it to the Kurdistan Workers' Party (PKK).",Private Citizens & Property,Kurdistan Workers' Party (PKK),Unknown,3,0
157067,201601060046,2016,1,6,Turkey,Middle East & North Africa,Istanbul,Beyoglu district,41.038457,28.970059999999997,"01/06/2016: Assailants opened fire on a police patrol in Sururi neighborhood, Beyoglu district, Istanbul province, Turkey. One police officer was wounded in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,0,1
157145,201601090028,2016,1,9,Turkey,Middle East & North Africa,Diyarbakir,Kayapinar district,37.956251,39.924165,"01/09/2016: An explosive device detonated at a graveyard in Kayapinar district, Diyarbakir province, Turkey. At least two children were injured in the blast. No group claimed responsibility for the attack.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,2
157150,201601090034,2016,1,9,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.064584,40.381766,"01/09/2016: Assailants shot and injured a Turkish Armed Forces (TSK) soldier in Sur neighborhood, Diyarbakir city, Diyarbakir province, Turkey. No group claimed responsibility for the attack.",Military,Unknown,Firearms,0,1
157151,201601090035,2016,1,9,Turkey,Middle East & North Africa,Diyarbakir,Sur district,38.064584,40.381766,"01/09/2016: An explosive device detonated near Turkish Armed Forces (TSK) soldiers in Sur neighborhood, Diyarbakir city, Diyarbakir province, Turkey. At least four people, three soldiers and a civil servant, were injured in the blast. No group claimed responsibility for the attack.",Military,Unknown,Explosives/Bombs/Dynamite,0,4
