year,injuries,fatalities,region,count
1979,3,13,Sub-Saharan Africa,8
1981,9,57,Sub-Saharan Africa,25
1982,0,0,Sub-Saharan Africa,1
1983,2,121,Sub-Saharan Africa,6
1984,0,235,Sub-Saharan Africa,3
1985,8,32,Sub-Saharan Africa,7
1986,0,1,Sub-Saharan Africa,1
1987,4,1,Sub-Saharan Africa,1
1988,22,160,Sub-Saharan Africa,15
1989,37,72,Sub-Saharan Africa,15
1990,31,84,Sub-Saharan Africa,14
1991,0,2,Sub-Saharan Africa,2
1992,14,2,Sub-Saharan Africa,3
1994,41,22,Sub-Saharan Africa,13
1995,20,145,Sub-Saharan Africa,7
1996,110,413,Sub-Saharan Africa,29
1997,121,239,Sub-Saharan Africa,24
1998,72,81,Sub-Saharan Africa,18
1999,91,75,Sub-Saharan Africa,19
2000,90,297,Sub-Saharan Africa,20
2001,83,56,Sub-Saharan Africa,24
2002,44,173,Sub-Saharan Africa,24
2003,72,231,Sub-Saharan Africa,30
2004,107,193,Sub-Saharan Africa,10
2005,43,80,Sub-Saharan Africa,11
2007,1,2,Sub-Saharan Africa,1
2008,11,3,Sub-Saharan Africa,7
2009,0,11,Sub-Saharan Africa,2
2010,71,75,Sub-Saharan Africa,6
2012,0,5,Sub-Saharan Africa,4
2014,16,98,Sub-Saharan Africa,6
2015,1,4,Sub-Saharan Africa,10
2016,19,75,Sub-Saharan Africa,15
