,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
74831,200301020001,2003,1,2,Uganda,Sub-Saharan Africa,Northern,Pece Cubo,2.772404,32.288073,01/02/2003: Members of the Lord?s Resistance Army (LRA) abducted thirty born-again Christians from a church during the night in Pece Cubo in the Gulu Municipality in Uganda. Thirteen of the hostages were immediately released. An unknown number later escaped during a shootout with Uganda People's Defense Forces. No deaths were reported.,Private Citizens & Property,Lord's Resistance Army (LRA),Firearms,0,0
74832,200301020002,2003,1,2,Uganda,Sub-Saharan Africa,Northern,Pece Aywe,2.772404,32.288073,"01/02/2003: About 10 members of the Lord?s Resistance Army (LRA) infiltrated Pece-Aywe in Uganda?s Gulu Municipality and tortured Paula Adong, a teacher at Holy Rosary, and Irene Nyeko in their homes.",Religious Figures/Institutions,Lord's Resistance Army (LRA),Firearms,0,0
74844,200301030009,2003,1,3,Uganda,Sub-Saharan Africa,Northern,Acet,2.6842349999999997,32.655625,"01/03/2003: Suspected members of the Lord's Resistance Army (LRA) opened fire in Acet in Gulu district, Uganda. The target of the gunfire was a group of dancing civilians, of which six were left dead. Known LRA thugs were among the group fired on.",Private Citizens & Property,Lord's Resistance Army (LRA),Firearms,6,0
74892,200301110004,2003,1,11,Uganda,Sub-Saharan Africa,Northern,Patongo,2.761837,33.309328,"01/11/2003: Members of the Lord's Resistance Army chopped up district deputy speaker, Tonny Odong, with machetes in Agago County inside Uganda. He had been abducted two days prior to his death.",Government (General),Lord's Resistance Army (LRA),Melee,1,0
75334,200304080003,2003,4,8,Uganda,Sub-Saharan Africa,Northern,Miri-Miri,3.3783809999999996,31.782228000000003,"04/08/2003: Suspected Lord?s Resistance Army (LRA) rebels ambushed a convoy traveling at Miri-Miri in Adjuman district, Uganda, killing ten and injuring eleven people.",Private Citizens & Property,Lord's Resistance Army (LRA),Firearms,10,11
75344,200304110001,2003,4,11,Uganda,Sub-Saharan Africa,Eastern,Suam,1.220216,34.734082,"04/11/2003: Thirty people were killed by Kenyan Pokot raiders in Suam, Kapchorwa district, Uganda. Reportedly, 300 heavily armed Pokot raiders attacked a village in the Suam sub-county, killing people, burning as many as 200 houses and steeling at least 300 head of cattle.",Private Citizens & Property,Pokot extremists,Firearms,30,0
75366,200304150003,2003,4,15,Uganda,Sub-Saharan Africa,Northern,Aswa,2.957974,32.590059000000004,"04/15/2003: Ten people were killed when suspected Lord?s Resistance Army (LRA) rebels raided the Oroko displaced people?s camp in Aswa, Gulu district, Uganda. The perpetrators also torched approximately 200 grass-thatched houses in the incident.",Other,Lord's Resistance Army (LRA),Firearms,10,0
75432,200305060001,2003,5,6,Uganda,Sub-Saharan Africa,Northern,Lalogi,2.640047,32.511721,"05/6/2003: Fifteen members of the Lord's Resistance Army (LRA) abducted four people in the area of Lalogi, Uganda. Two were rescued by the army and the other two victims escaped.",Private Citizens & Property,Lord's Resistance Army (LRA),Unknown,0,0
75458,200305100001,2003,5,10,Uganda,Sub-Saharan Africa,Northern,Opia,2.772404,32.288073,"05/10/2003: Members of the Lord's Resistance Army (LRA) raided a junior seminary in Opia village, six kilometers west of Gulu, Uganda, killing a child and abducting 44 boys and several other people (unspecified). Three children immediately managed to escape but the fate of the remaining children was not reported.",Educational Institution,Lord's Resistance Army (LRA),Firearms,1,0
75508,200305200004,2003,5,20,Uganda,Sub-Saharan Africa,Northern,Gulu,2.7716790000000002,32.288421,"05/20/2003: Saulo Okello, a local politician from northern Uganda, was killed in an ambush by alleged members of the Lord's Resistance Army (LRA) along Gulu-Kitgum road at the Ceke Forest, outside Gulu, Uganda.",Government (General),Lord's Resistance Army (LRA),Firearms,1,0
