year,injuries,fatalities,region,count
1991,1,0,Eastern Europe,2
1992,1,1,Eastern Europe,1
1994,6,4,Eastern Europe,10
1995,2,0,Eastern Europe,2
1996,3,0,Eastern Europe,3
1997,0,2,Eastern Europe,2
1999,37,1,Eastern Europe,6
2000,0,0,Eastern Europe,1
2002,2,1,Eastern Europe,3
2003,1,0,Eastern Europe,1
2007,0,0,Eastern Europe,1
2008,2,0,Eastern Europe,1
2009,8,0,Eastern Europe,2
2010,8,1,Eastern Europe,4
2011,0,0,Eastern Europe,3
2012,36,1,Eastern Europe,8
2013,3,1,Eastern Europe,5
2014,1226,1396,Eastern Europe,898
2015,1401,765,Eastern Europe,637
2016,39,48,Eastern Europe,60
