year,injuries,fatalities,region,count
1974,2,1,Middle East & North Africa,1
1977,0,1,Middle East & North Africa,1
1978,0,5,Middle East & North Africa,1
1979,0,0,Middle East & North Africa,2
1980,15,1,Middle East & North Africa,1
1981,7,2,Middle East & North Africa,3
1983,0,111,Middle East & North Africa,1
1985,1,0,Middle East & North Africa,2
1986,0,0,Middle East & North Africa,1
1989,0,1,Middle East & North Africa,1
1992,1,0,Middle East & North Africa,1
1995,0,0,Middle East & North Africa,2
2010,1,0,Middle East & North Africa,2
2013,0,0,Middle East & North Africa,1
2014,0,1,Middle East & North Africa,2
