year,injuries,fatalities,region,count
1970,1,20,Western Europe,12
1971,1,110,Western Europe,81
1972,223,368,Western Europe,285
1973,275,210,Western Europe,189
1974,329,235,Western Europe,202
1975,129,245,Western Europe,194
1976,19,264,Western Europe,194
1977,17,103,Western Europe,140
1978,113,81,Western Europe,100
1979,146,133,Western Europe,238
1980,92,78,Western Europe,134
1981,118,86,Western Europe,142
1982,152,95,Western Europe,95
1983,186,77,Western Europe,177
1984,249,69,Western Europe,145
1985,175,64,Western Europe,67
1986,80,63,Western Europe,95
1987,120,104,Western Europe,118
1988,263,372,Western Europe,181
1989,174,66,Western Europe,163
1990,123,76,Western Europe,147
1991,235,88,Western Europe,262
1992,453,94,Western Europe,274
1994,177,66,Western Europe,256
1995,5,11,Western Europe,22
1996,395,14,Western Europe,36
1997,35,23,Western Europe,78
1998,259,46,Western Europe,63
1999,161,7,Western Europe,76
2000,28,7,Western Europe,61
2001,33,8,Western Europe,94
2002,13,2,Western Europe,21
2003,11,2,Western Europe,23
2004,2,0,Western Europe,5
2005,836,57,Western Europe,25
2006,0,0,Western Europe,6
2007,13,4,Western Europe,20
2008,8,0,Western Europe,39
2009,12,3,Western Europe,22
2010,22,0,Western Europe,57
2011,3,1,Western Europe,47
2012,2,1,Western Europe,54
2013,64,4,Western Europe,137
2014,4,0,Western Europe,103
2015,23,1,Western Europe,114
2016,20,9,Western Europe,104
