,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
1126,197201050001,1972,1,5,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Military,Irish Republican Army (IRA),Firearms,1,0
1137,197201120001,1972,1,12,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Police,Irish Republican Army (IRA),Firearms,1,0
1138,197201130001,1972,1,13,United Kingdom,Western Europe,Northern Ireland,Newtownabbey,54.684823,-5.965868,,Military,Irish Republican Army (IRA),Firearms,1,0
1146,197201180001,1972,1,18,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Private Citizens & Property,Irish Republican Army (IRA),Firearms,1,0
1148,197201210002,1972,1,21,United Kingdom,Western Europe,Northern Ireland,Keady,54.250039,-6.703625,,Military,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,1,0
1155,197201260006,1972,1,26,United Kingdom,Western Europe,Northern Ireland,Castlewellan,54.25569599999999,-5.948804,,Police,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,1,0
1157,197201270002,1972,1,27,United Kingdom,Western Europe,Northern Ireland,Londonderry,54.99451,-7.319996000000001,,Police,Irish Republican Army (IRA),Firearms,2,0
1158,197201280001,1972,1,28,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Police,Irish Republican Army (IRA),Firearms,1,0
1159,197201310001,1972,1,31,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Private Citizens & Property,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,1,0
1160,197202010001,1972,2,1,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Military,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,7,17
1161,197202010002,1972,2,1,United Kingdom,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,,Military,Irish Republican Army (IRA),Firearms,1,0
