year,injuries,fatalities,region,count
1970,160,33,North America,468
1971,55,20,North America,247
1972,35,10,North America,64
1973,33,45,North America,58
1974,54,16,North America,94
1975,158,24,North America,149
1976,41,4,North America,105
1977,17,4,North America,130
1978,8,8,North America,87
1979,58,18,North America,69
1980,22,15,North America,67
1981,15,8,North America,73
1982,37,11,North America,78
1983,5,8,North America,44
1984,780,3,North America,63
1985,13,3,North America,40
1986,36,1,North America,49
1987,1,1,North America,34
1988,1,1,North America,27
1989,14,3,North America,42
1990,7,5,North America,32
1991,4,2,North America,30
1992,3,2,North America,32
1994,16,10,North America,56
1995,734,170,North America,60
1996,119,2,North America,35
1997,18,2,North America,40
1998,3,4,North America,30
1999,40,20,North America,53
2000,7,0,North America,32
2001,14864,3005,North America,41
2002,11,4,North America,33
2003,0,0,North America,32
2004,0,0,North America,9
2005,0,0,North America,20
2006,14,1,North America,6
2007,0,0,North America,9
2008,13,2,North America,18
2009,41,18,North America,10
2010,17,4,North America,17
2011,2,0,North America,10
2012,7,7,North America,19
2013,436,23,North America,20
2014,6,19,North America,26
2015,51,44,North America,39
2016,139,68,North America,61
