,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
5,197001010002,1970,1,1,United States,North America,Illinois,Cairo,37.005105,-89.17626899999999,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",Police,Black Nationalists,Firearms,0,0
7,197001020002,1970,1,2,United States,North America,California,Oakland,37.805065,-122.27302399999999,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
8,197001020003,1970,1,2,United States,North America,Wisconsin,Madison,43.076592,-89.412488,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",Military,New Year's Gang,Incendiary,0,0
9,197001030001,1970,1,3,United States,North America,Wisconsin,Madison,43.07295,-89.38669399999999,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",Government (General),New Year's Gang,Incendiary,0,0
10,197001050001,1970,1,1,United States,North America,Wisconsin,Baraboo,43.4685,-89.744299,,Military,"Weather Underground, Weathermen",Explosives/Bombs/Dynamite,0,0
11,197001060001,1970,1,6,United States,North America,Colorado,Denver,39.74001,-104.992259,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",Military,Left-Wing Militants,Incendiary,0,0
13,197001090001,1970,1,9,United States,North America,Michigan,Detroit,42.331685,-83.047924,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",Government (General),Left-Wing Militants,Incendiary,0,0
14,197001090002,1970,1,9,United States,North America,Puerto Rico,Rio Piedras,18.399712,-66.049987,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",Business,Armed Commandos of Liberation,Incendiary,0,0
17,197001120001,1970,1,12,United States,North America,New York,New York City,40.610069,-73.947971,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",Educational Institution,Black Nationalists,Explosives/Bombs/Dynamite,0,0
18,197001120002,1970,1,12,United States,North America,Puerto Rico,Rio Grande,18.379998,-65.83094799999999,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",Business,Strikers,Explosives/Bombs/Dynamite,0,0
19,197001130001,1970,1,13,United States,North America,Washington,Seattle,47.603559999999995,-122.329439,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",Business,Black Nationalists,Incendiary,0,0
20,197001140001,1970,1,14,United States,North America,Illinois,Champaign,40.116748,-88.23926999999999,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",Police,Black Nationalists,Incendiary,0,1
22,197001190002,1970,1,19,United States,North America,Washington,Seattle,47.610594,-122.317228,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",Educational Institution,Black Nationalists,Explosives/Bombs/Dynamite,0,0
23,197001190003,1970,1,19,United States,North America,Washington,Seattle,47.655335,-122.30351999999999,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",Military,Student Radicals,Explosives/Bombs/Dynamite,0,0
24,197001190004,1970,1,19,United States,North America,New Jersey,Jersey City,40.728075,-74.077825,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",Violent Political Party,White extremists,Incendiary,0,0
28,197001220002,1970,1,22,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",Private Citizens & Property,Strikers,Explosives/Bombs/Dynamite,0,0
29,197001250001,1970,1,25,United States,North America,Mississippi,West Point,33.60651,-88.650419,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",Private Citizens & Property,White extremists,Incendiary,0,0
30,197001250002,1970,1,25,United States,North America,New York,New York City,40.78306,-73.971249,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",Police,Black Nationalists,Firearms,0,2
31,197001260001,1970,1,26,United States,North America,Mississippi,West Point,33.60651,-88.650419,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",Government (General),Black Nationalists,Explosives/Bombs/Dynamite,0,0
32,197001260003,1970,1,26,United States,North America,New York,New York City,40.728224,-73.794852,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",Police,Black Nationalists,Firearms,0,0
33,197001270002,1970,1,27,United States,North America,Ohio,Norwalk,41.241996,-82.615241,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",Government (General),Left-Wing Militants,Incendiary,0,0
35,197001280002,1970,1,28,United States,North America,Washington,Seattle,47.603559999999995,-122.329439,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",Religious Figures/Institutions,White extremists,Explosives/Bombs/Dynamite,0,0
