,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
6,197001020001,1970,1,2,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Police,Tupamaros (Uruguay),Firearms,0,0
21,197001150001,1970,1,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Educational Institution,Tupamaros (Uruguay),Firearms,0,0
289,197005150002,1970,5,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Military,Tupamaros (Uruguay),Firearms,0,0
312,197005290002,1970,5,29,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Military,Tupamaros (Uruguay),Firearms,0,0
344,197006120001,1970,6,12,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (Diplomatic),Tupamaros (Uruguay),Unknown,0,0
435,197007280001,1970,7,28,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (General),Tupamaros (Uruguay),Unknown,0,0
440,197007310001,1970,7,31,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (Diplomatic),Tupamaros (Uruguay),Unknown,0,0
441,197007310002,1970,7,31,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (Diplomatic),Tupamaros (Uruguay),Unknown,0,0
442,197007310003,1970,7,31,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (General),Tupamaros (Uruguay),Unknown,1,0
465,197008190001,1970,8,19,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (General),Tupamaros (Uruguay),Unknown,0,0
469,197008210001,1970,8,21,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Telecommunication,Tupamaros (Uruguay),Firearms,0,0
488,197009000002,1970,9,0,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,2,0
496,197009040002,1970,9,4,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Government (General),Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
512,197009110003,1970,9,11,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
515,197009140001,1970,9,14,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
516,197009160001,1970,9,16,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
521,197009230002,1970,9,23,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
525,197009260001,1970,9,26,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Police,Tupamaros (Uruguay),Unknown,0,0
545,197010080005,1970,10,8,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
554,197010150002,1970,10,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Journalists & Media,Tupamaros (Uruguay),Incendiary,0,0
555,197010150003,1970,10,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
556,197010150004,1970,10,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Airports & Aircraft,Tupamaros (Uruguay),Incendiary,0,0
557,197010150005,1970,10,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
611,197011210002,1970,11,21,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Firearms,0,0
622,197011280001,1970,11,28,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Incendiary,0,0
624,197011290002,1970,11,29,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Firearms,0,0
626,197012010002,1970,12,1,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
627,197012010003,1970,12,1,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
631,197012110002,1970,12,11,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
632,197012130001,1970,12,13,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
637,197012160001,1970,12,16,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Educational Institution,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
638,197012160002,1970,12,16,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Journalists & Media,Tupamaros (Uruguay),Firearms,0,0
640,197012170001,1970,12,17,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,Business,Tupamaros (Uruguay),Explosives/Bombs/Dynamite,0,0
