year,injuries,fatalities,region,count
1970,0,0,South America,2
1971,0,0,South America,4
1972,0,0,South America,1
1973,0,0,South America,4
1974,0,0,South America,3
1975,0,0,South America,5
1976,0,0,South America,4
1977,0,1,South America,3
1978,5,1,South America,7
1979,0,0,South America,4
1980,13,3,South America,8
1981,0,2,South America,7
1982,0,30,South America,2
1983,0,7,South America,6
1984,0,2,South America,4
1985,0,0,South America,2
1986,12,13,South America,8
1987,0,3,South America,13
1988,5,41,South America,10
1989,0,14,South America,8
1990,0,0,South America,1
1991,1,47,South America,17
1992,28,7,South America,32
1994,10,4,South America,12
1995,34,8,South America,11
1996,4,13,South America,12
1997,1,3,South America,41
1998,1,0,South America,1
1999,0,0,South America,5
2001,1,0,South America,5
2002,0,0,South America,5
2003,4,0,South America,8
2007,8,1,South America,2
2008,0,1,South America,1
2009,1,10,South America,3
2012,2,0,South America,1
2014,1,1,South America,4
2015,0,1,South America,3
2016,77,9,South America,6
