year,injuries,fatalities,region,count
1972,3,1,Middle East & North Africa,1
1976,0,2,Middle East & North Africa,1
1978,37,6,Middle East & North Africa,4
1979,25,2,Middle East & North Africa,22
1980,70,31,Middle East & North Africa,56
1981,57,6,Middle East & North Africa,17
1982,36,7,Middle East & North Africa,39
1983,22,9,Middle East & North Africa,34
1984,48,5,Middle East & North Africa,26
1985,2,0,Middle East & North Africa,1
1986,24,4,Middle East & North Africa,13
1987,7,3,Middle East & North Africa,11
1988,13,10,Middle East & North Africa,18
1989,30,72,Middle East & North Africa,100
1990,28,62,Middle East & North Africa,88
1991,50,43,Middle East & North Africa,83
1992,183,93,Middle East & North Africa,119
1994,387,129,Middle East & North Africa,165
1995,129,43,Middle East & North Africa,67
1996,31,17,Middle East & North Africa,30
1997,29,9,Middle East & North Africa,22
1998,26,12,Middle East & North Africa,12
1999,12,1,Middle East & North Africa,11
2000,48,21,Middle East & North Africa,28
2001,182,105,Middle East & North Africa,123
2002,262,177,Middle East & North Africa,86
2003,95,60,Middle East & North Africa,45
2004,60,31,Middle East & North Africa,34
2005,48,20,Middle East & North Africa,38
2006,19,20,Middle East & North Africa,35
2007,351,112,Middle East & North Africa,88
2008,91,17,Middle East & North Africa,63
2009,3,7,Middle East & North Africa,10
2010,16,0,Middle East & North Africa,11
2011,11,15,Middle East & North Africa,20
2012,20,12,Middle East & North Africa,23
2013,27,12,Middle East & North Africa,64
2014,94,67,Middle East & North Africa,133
2015,239,117,Middle East & North Africa,246
2016,124,90,Middle East & North Africa,157
